Species	C2	C3	Y1	Y2	Y3
Erwinia_tasmaniensis	2	0	0	1	2
Fenollaria_sporofastidiosus	1	0	0	4	0
Ferrimonas_balearica	5	0	0	0	0
Ferrovibrio_sp.	1	1	3	0	0
Flagellimonas_aurea	4	0	0	1	0
Flaviflexus_equikiangi	3	2	0	0	0
Franconibacter_helveticus	1	4	0	0	0
Fructilactobacillus_fructivorans	0	0	2	0	3
Fusobacterium_gonidiaformans	0	0	3	2	0
Gemmatimonas_aurantiaca	0	4	1	0	0
Gemmatirosa_kalamazoonensis	4	0	0	0	1
Geobacter_sp._FeAm09	1	2	0	2	0
Geotalea_daltonii	5	0	0	0	0
Geotalea_uraniireducens	2	1	1	0	1
Gilliamella_sp._ESL0405	0	0	5	0	0
Globicatella_sanguinis	3	0	0	0	2
Gloeobacter_morelensis	2	0	0	3	0
Glutamicibacter_creatinolyticus	0	4	0	1	0
Glutamicibacter_halophytocola	0	5	0	0	0
Gordonia_malaquae	2	3	0	0	0
Gordonia_pseudamarae	3	0	1	1	0
Gordonia_zhaorongruii	2	1	0	0	2
Granulicella_sp._5B5	1	4	0	0	0
Guyparkeria_halophila	2	3	0	0	0
Haematobacter_massiliensis	0	5	0	0	0
Halioglobus_sp._Uisw_031	0	0	0	5	0
Halobacillus_halophilus	1	1	0	3	0
Halobacillus_shinanisalinarum	0	0	4	1	0
Halobacillus_sp._SY10	0	0	2	0	3
Halomonas_aestuarii	4	1	0	0	0
Halovivax_ruber	0	4	1	0	0
Heyndrickxia_coagulans	0	0	4	0	1
Hydrogenibacillus_sp._N12	2	0	0	3	0
Hydrogenimonas_leucolamina	0	0	5	0	0
Hyphococcus_flavus	5	0	0	0	0
Ilyobacter_polytropus	0	0	1	2	2
Isoptericola_dokdonensis	2	0	3	0	0
Kibdelosporangium_phytohabitans	3	0	0	2	0
Kineococcus_sp._NBC_00420	4	1	0	0	0
Kitasatospora_sp._NBC_00315	0	3	2	0	0
Krasilnikovia_sp._MM14-A1004	3	0	0	2	0
Larkinella_sp.	4	0	0	0	1
Leptodesmis_sichuanensis	5	0	0	0	0
Luteolibacter_ambystomatis	2	0	0	1	2
Luteolibacter_luteus	1	0	4	0	0
Lysinibacillus_sp._FSL_H8-0500	5	0	0	0	0
Lysinibacillus_sphaericus	0	0	2	0	3
Lysobacter_capsici	1	2	0	2	0
Malacoplasma_muris	5	0	0	0	0
Malassezia_restricta	0	0	0	0	5
Mangrovibacterium_marinum	3	0	0	2	0
Maribacter_hydrothermalis	5	0	0	0	0
Marinifilum_sp.	0	0	2	3	0
Marinobacter_similis	1	4	0	0	0
Metapseudomonas_otitidis	2	1	0	0	2
Methanobrevibacter_sp._AbM4	0	4	0	1	0
Methanocaldococcus_jannaschii	5	0	0	0	0
Methylobacterium_currus	2	0	0	0	3
Methylocaldum_szegediense	2	2	0	1	0
Methylomonas_methanica	5	0	0	0	0
Methylorubrum_sp._B1-46	0	5	0	0	0
Methylotenera_versatilis	0	0	0	0	5
Micavibrio_aeruginosavorus	0	2	0	3	0
Microaceticoccus_formicicus	1	1	0	3	0
Microbacterium_foliorum	0	2	0	3	0
Microbacterium_horticulturae	5	0	0	0	0
Microbacterium_terrisoli	0	2	0	3	0
Microbispora_rosea	1	0	0	4	0
Microbulbifer_bruguierae	1	0	4	0	0
Microbulbifer_pacificus	0	4	0	1	0
Micromonospora_sp._WMMD714	0	0	3	0	2
Microvirgula_aerodenitrificans	1	1	1	2	0
Moorella_sp._Hama-1	2	2	0	1	0
Mucilaginibacter_sp._McL0603	0	3	1	0	1
Mucilaginibacter_sp._SP1R1	0	0	2	0	3
Muricoccus_radiodurans	2	1	2	0	0
Mycobacterium_florentinum	0	0	1	0	4
Mycobacteroides_chelonae	5	0	0	0	0
Mycolicibacterium_phlei	1	0	4	0	0
Mycolicibacterium_rutilum	1	4	0	0	0
Mycoplasma_hafezii	5	0	0	0	0
Mycoplasmopsis_felis	5	0	0	0	0
Nanchangia_anserum	1	0	0	4	0
Neisseria_arctica	0	0	3	0	2
Neobacillus_sp._YX16	0	0	3	1	1
Neorhizobium_sp._NCHU2750	3	2	0	0	0
Nitratidesulfovibrio_sp._HK-II	3	0	0	1	1
Nitrogeniibacter_mangrovi	0	5	0	0	0
Nocardia_brasiliensis	2	0	2	1	0
Nocardia_gipuzkoensis	5	0	0	0	0
Nocardia_otitidiscaviarum	1	2	0	2	0
Nocardioides_rotundus	1	4	0	0	0
Nocardioides_sp._CF8	0	5	0	0	0
Novosphingobium_rhizosphaerae	0	5	0	0	0
Novosphingobium_sp._BL-8A	0	4	0	0	1
Oryzobacter_telluris	4	1	0	0	0
Paenibacillus_albus	3	1	0	1	0
Paenibacillus_beijingensis	3	0	0	0	2
Paenibacillus_cellulosilyticus	1	4	0	0	0
Paenibacillus_larvae	0	0	0	4	1
Paenibacillus_sp._19GGS1-52	0	1	0	3	1
Paenibacillus_sp._FSL_H8-0332	0	3	0	0	2
Paenibacillus_sp._FSL_R10-2782	0	0	0	2	3
Paenibacillus_sp._JNUCC-31	0	1	3	1	0
Paenibacillus_sp._URB8-2	3	0	1	1	0
Paraburkholderia_caribensis	0	4	1	0	0
Paraburkholderia_kururiensis	1	4	0	0	0
Paraburkholderia_phenoliruptrix	0	5	0	0	0
Paraburkholderia_phymatum	0	5	0	0	0
Paraburkholderia_sacchari	0	5	0	0	0
Paraburkholderia_terrae	3	2	0	0	0
Paracoccus_jeotgali	5	0	0	0	0
Paramicrobacterium_chengjingii	5	0	0	0	0
Pedobacter_steynii	0	3	2	0	0
Pelagovum_sp._HNIBRBA483	0	0	1	4	0
Pelolinea_submarina	0	0	3	1	1
Phaeodactylibacter_xiamenensis	0	0	0	0	5
Photobacterium_swingsii	0	5	0	0	0
Phycisphaera_mikurensis	2	2	0	0	1
Piscinibacter_sp._XHJ-5	0	3	0	2	0
Planctellipticum_variicoloris	4	0	1	0	0
Planctomyces_sp._SH-PL62	2	2	0	0	1
Planococcus_koreensis	1	0	2	2	0
Polynucleobacter_sp._JS-JIR-II-b4	3	0	0	2	0
Pontibacter_kalidii	0	5	0	0	0
Prevotella_bivia	5	0	0	0	0
Prevotella_scopos	0	0	0	3	2
Prevotella_sp.	4	1	0	0	0
Proteus_vulgaris	0	0	0	5	0
Pseudescherichia_vulneris	4	1	0	0	0
Pseudocitrobacter_corydidari	2	3	0	0	0
Pseudodesulfovibrio_aespoeensis	4	1	0	0	0
Pseudolactococcus_raffinolactis	0	0	3	1	1
Pseudomonas_entomophila	5	0	0	0	0
Pseudomonas_sp._ABC1	0	5	0	0	0
Pseudomonas_sp._MPB03	0	5	0	0	0
Pseudomonas_sp._NEEL19	1	1	1	1	1
Pseudomonas_sp._PLMAX	0	5	0	0	0
Pukyongiella_litopenaei	2	3	0	0	0
Ralstonia_wenshanensis	1	4	0	0	0
Rhizobium_rhododendri	0	5	0	0	0
Rhizobium_sp._SSA_523	3	0	0	2	0
Rhodococcus_sp._X156	4	0	0	1	0
Rossellomorea_marisflavi	3	0	0	0	2
Rubrivivax_gelatinosus	3	2	0	0	0
Ruminiclostridium_cellulolyticum	0	0	2	2	1
Runella_slithyformis	0	1	0	4	0
Saccharopolyspora_sp._ID03-671	4	0	0	1	0
Salinibacterium_sp._TMP30	1	4	0	0	0
Salinilacustrithrix_flava	1	4	0	0	0
Sandaracinus_amylolyticus	4	0	1	0	0
Saxibacter_everestensis	2	2	0	1	0
Schaalia_sp._ZJ405	0	0	0	4	1
Schnuerera_ultunensis	5	0	0	0	0
Sedimentibacter_sp._MB35-C1	1	1	0	3	0
Selenomonas_sp._oral_taxon_478	0	1	0	1	3
Serinicoccus_chungangensis	1	4	0	0	0
Serratia_marcescens	1	2	2	0	0
Serratia_plymuthica	0	2	0	0	3
Serratia_surfactantfaciens	5	0	0	0	0
Skermanella_mucosa	0	0	0	1	4
Sphaerochaeta_associata	4	1	0	0	0
Sphingomonas_abietis	2	0	0	0	3
Sphingomonas_glaciei	2	3	0	0	0
Sporomusa_acidovorans	4	0	1	0	0
Sporomusa_aerivorans	1	4	0	0	0
Staphylococcus_argenteus	2	0	2	1	0
Staphylococcus_felis	1	2	0	2	0
Streptococcus_hyointestinalis	0	0	3	2	0
Streptomyces_bathyalis	3	2	0	0	0
Streptomyces_collinus	3	0	1	1	0
Streptomyces_genisteinicus	0	3	0	2	0
Streptomyces_gilvosporeus	5	0	0	0	0
Streptomyces_hawaiiensis	0	5	0	0	0
Streptomyces_sp._NBC_00258	2	3	0	0	0
Streptomyces_sp._NBC_00576	2	3	0	0	0
Streptomyces_sp._NBC_01235	4	0	0	1	0
Streptomyces_sp._NBC_01485	1	4	0	0	0
Streptomyces_sp._NBC_01808	1	0	0	0	4
Streptomyces_sp._SCSIO_30461	1	0	0	0	4
Streptomyces_sp._T12	4	0	1	0	0
Streptomyces_xinghaiensis	0	5	0	0	0
Succinivibrio_dextrinosolvens	1	0	0	2	2
Sulfuricystis_multivorans	3	2	0	0	0
Sulfurifustis_variabilis	1	1	3	0	0
Superficieibacter_sp._BNK-5	3	1	0	0	1
Synechococcus_elongatus	0	1	0	4	0
Synechococcus_sp._PCC_7336	0	5	0	0	0
Terrisporobacter_mayombei	0	0	2	2	1
Thalassovita_sp.	4	1	0	0	0
Thauera_sp._GDN1	0	0	0	5	0
Thermomonas_brevis	5	0	0	0	0
Thermomonas_sp._XSG	0	1	0	3	1
Thermomonospora_amylolytica	5	0	0	0	0
Thermomonospora_curvata	3	0	0	2	0
Thiohalobacter_sp._COW1	0	5	0	0	0
Thiomicrorhabdus_lithotrophica	0	0	3	2	0
Tissierella_carlieri	3	0	0	0	2
Tomitella_gaofuii	4	1	0	0	0
Treponema_parvum	4	0	0	0	1
Treponema_sp._OMZ_838	0	0	0	2	3
Trueperella_abortisuis	4	1	0	0	0
Tsukamurella_pulmonis	0	5	0	0	0
Tundrisphaera_lichenicola	2	2	1	0	0
Tunturiibacter_empetritectus	2	3	0	0	0
Umezawaea_sp._Da_62-37	4	1	0	0	0
Variovorax_sp._RA8	3	0	0	0	2
Verrucomicrobium_spinosum	5	0	0	0	0
Vibrio_alfacsensis	0	0	0	0	5
Vibrio_cholerae	3	1	0	1	0
Vibrio_porteresiae	0	0	1	0	4
Vreelandella_titanicae	1	0	0	2	2
Vulgatibacter_incomptus	2	3	0	0	0
Xanthomonas_campestris	0	2	0	1	2
Xanthomonas_medicagonis	4	1	0	0	0
Yoonia_vestfoldensis	5	0	0	0	0
Zhouia_spongiae	0	0	0	0	5
Abyssogena_phaseoliformis_symbiont	4	0	0	0	0
Acetivibrio_saccincola	2	1	0	1	0
Achromobacter_marplatensis	3	0	0	1	0
Acidaminococcus_fermentans	0	2	0	1	1
Acidiferrobacter_thiooxydans	3	1	0	0	0
Acinetobacter_sp.	0	0	0	0	4
Acinetobacter_sp._WCHAc010034	3	0	0	0	1
Actimicrobium_sp._CCC2.4	0	4	0	0	0
Actinomadura_citrea	4	0	0	0	0
Actinomyces_howellii	0	0	1	1	2
Actinomyces_procaprae	0	1	0	1	2
Actinomyces_slackii	1	1	1	1	0
Actinomyces_trachealis	0	2	1	1	0
Actinoplanes_derwentensis	3	1	0	0	0
Actinoplanes_sp._CA-142083	3	0	0	1	0
Actinoplanes_sp._OR16	0	3	0	0	1
Actinotignum_schaalii	1	0	3	0	0
Acuticoccus_sp.	3	0	0	0	1
Aerococcus_mictus	0	0	0	4	0
Aeromonas_salmonicida	3	1	0	0	0
Aeromonas_sp._ASNIH4	4	0	0	0	0
Agaribacterium_sp._ZY112	2	1	0	1	0
Agrilactobacillus_fermenti	3	0	0	0	1
Agrilutibacter_solisilvae	1	3	0	0	0
Agrobacterium_arsenijevicii	2	0	1	0	1
Akkermansia_sp._RCC_12PD	1	3	0	0	0
Alkalihalophilus_pseudofirmus	1	2	0	0	1
Alkalilimnicola_ehrlichii	2	2	0	0	0
Alloscardovia_omnicolens	0	0	2	2	0
Alteromonas_macleodii	0	0	0	0	4
Ammonicoccus_fulvus	2	0	2	0	0
Amycolatopsis_mongoliensis	2	2	0	0	0
Amycolatopsis_rhabdoformis	3	1	0	0	0
Anaerotignum_propionicum	2	1	0	1	0
Aquifex_aeolicus	0	0	0	0	4
Arcobacter_porcinus	2	0	0	2	0
Arsenicicoccus_dermatophilus	4	0	0	0	0
Arthrobacter_sp._TMP15	4	0	0	0	0
Avibacterium_paragallinarum	0	0	2	2	0
Azospirillum_lipoferum	0	1	0	3	0
Bacillus_atrophaeus	0	2	0	2	0
Bacillus_carboniphilus	0	0	2	0	2
Bacillus_sp._KH172YL63	2	1	0	0	1
Bacillus_subtilis	0	2	1	0	1
Bermanella_sp._WJH001	0	0	0	4	0
Bifidobacterium_choerinum	1	2	0	0	1
Bifidobacterium_lemurum	2	0	0	0	2
Bifidobacterium_pullorum	2	0	0	1	1
Bordetella_flabilis	2	2	0	0	0
Bordetella_hinzii	1	3	0	0	0
Bordetella_sp._N	1	0	0	3	0
Borrelia_sp._BU_AG58	4	0	0	0	0
Brachybacterium_halotolerans	0	2	0	2	0
Brachyspira_hyodysenteriae	0	0	1	2	1
Bradyrhizobium_arachidis	4	0	0	0	0
Bradyrhizobium_betae	0	1	3	0	0
Bradyrhizobium_icense	0	0	0	0	4
Bradyrhizobium_sp._SK17	0	3	0	1	0
Brenneria_rubrifaciens	0	4	0	0	0
Brevibacterium_siliguriense	0	1	0	3	0
Brevundimonas_albigilva	0	4	0	0	0
Brevundimonas_diminuta	3	0	0	0	1
Caenibius_sp._WL	3	0	0	0	1
Caldicellulosiruptor_bescii	1	3	0	0	0
Calothrix_sp._PCC_6303	1	0	2	0	1
Campylobacter_blaseri	4	0	0	0	0
Candidatus_Carsonella_ruddii	4	0	0	0	0
Candidatus_Chlorohelix_allophototropha	0	4	0	0	0
Candidatus_Enterococcus_lowellii	1	0	0	2	1
Candidatus_Karelsulcia_muelleri	0	0	0	4	0
Candidatus_Palauibacter_irciniicola	0	0	2	0	2
Candidatus_Protofrankia_datiscae	0	1	1	0	2
Candidatus_Sulfidibacterium_hydrothermale	4	0	0	0	0
Caproicibacterium_sp._XB2	1	2	1	0	0
Carboxydichorda_subterranea	3	1	0	0	0
Caulobacter_mirabilis	2	2	0	0	0
Caulobacter_rhizosphaerae	3	0	0	0	1
Cellulomonas_iranensis	0	2	2	0	0
Cellulophaga_sp._HaHaR_3_176	0	1	3	0	0
Changchengzhania_lutea	4	0	0	0	0
Chondrinema_litorale	0	0	1	2	1
Ciceribacter_thiooxidans	0	3	0	0	1
Citrobacter_amalonaticus	3	1	0	0	0
Citrobacter_tructae	1	3	0	0	0
Clavibacter_capsici	3	1	0	0	0
Clostridium_aceticum	0	0	2	2	0
Clostridium_acetobutylicum	0	4	0	0	0
Clostridium_sp._'deep_sea'	2	1	0	1	0
Clostridium_sp._DL-VIII	2	0	2	0	0
Clostridium_sp._JN-9	1	0	0	2	1
Clostridium_tagluense	0	0	1	1	2
Cohaesibacter_marisflavi	2	1	0	0	1
Colletotrichum_higginsianum	0	1	0	3	0
Companilactobacillus_alimentarius	0	0	0	4	0
Corallococcus_macrosporus	3	1	0	0	0
Corallococcus_sp._EGB	1	0	3	0	0
Corynebacterium_aquatimens	1	3	0	0	0
Corynebacterium_ciconiae	2	0	0	2	0
Corynebacterium_hesseae	4	0	0	0	0
Corynebacterium_kroppenstedtii	2	0	0	2	0
Corynebacterium_tuberculostearicum	3	0	1	0	0
Crenobacter_cavernae	0	0	0	4	0
Cronobacter_condimenti	2	2	0	0	0
Cupriavidus_basilensis	3	1	0	0	0
Curtobacterium_flaccumfaciens	1	1	1	1	0
Dactylosporangium_fulvum	1	1	0	0	2
Dactylosporangium_sp._CA-233914	2	0	0	0	2
Daejeonia_sp._YH14	2	0	0	1	1
Deinococcus_aetherius	3	1	0	0	0
Deinococcus_radiophilus	1	3	0	0	0
Deinococcus_radiopugnans	1	3	0	0	0
Deinococcus_sp._AJ005	2	1	0	0	1
Delftia_sp._PS-11	2	2	0	0	0
Desulfobulbus_oralis	3	1	0	0	0
Desulfosarcina_widdelii	2	2	0	0	0
Desulfoscipio_sp._XC116	4	0	0	0	0
Desulfosporosinus_orientis	0	3	0	0	1
Desulfurivibrio_alkaliphilus	3	1	0	0	0
Desulfurobacterium_thermolithotrophum	0	0	4	0	0
Drechmeria_coniospora	2	0	0	0	2
Duffyella_gerundensis	0	4	0	0	0
Dysgonomonas_sp._HDW5A	4	0	0	0	0
Eleftheria_terrae	0	1	3	0	0
Empedobacter_brevis	0	3	0	1	0
Ensifer_adhaerens	0	4	0	0	0
Enterobacter_chengduensis	0	3	0	0	1
Enterobacter_sp._S-33	4	0	0	0	0
Enterobacteriaceae_endosymbiont_of_Donacia_cinerea	4	0	0	0	0
Enterococcus_sp._DIV0724b	4	0	0	0	0
Enterococcus_sp._DIV0876	0	0	0	4	0
Enterococcus_sp._DIV1939	0	0	2	0	2
Escherichia_sp._F1	0	3	0	0	1
Ferribacterium_limneticum	1	1	2	0	0
Flavobacterium_faecale	1	0	2	1	0
Flavobacterium_gelatinilyticum	1	0	0	2	1
Flavobacterium_sp._N502536	3	0	0	1	0
Frischella_perrara	0	0	2	0	2
Fructilactobacillus_vespulae	4	0	0	0	0
Fusobacterium_pseudoperiodonticum	0	0	3	1	0
Gallibacterium_salpingitidis	0	0	4	0	0
Gaoshiqia_hydrogeniformans	4	0	0	0	0
Gemmatimonas_phototrophica	1	0	3	0	0
Geochorda_subterranea	1	3	0	0	0
Georgenia_faecalis	0	0	0	0	4
Georhizobium_sp._MAB10	0	0	4	0	0
Geothrix_sp._PMB-07	3	1	0	0	0
Gleimia_europaea	0	0	3	0	1
Gluconobacter_oxydans	4	0	0	0	0
Glutamicibacter_ectropisis	4	0	0	0	0
Gottschalkia_acidurici	0	1	0	1	2
Halarcobacter_anaerophilus	1	0	0	3	0
Halococcus_dombrowskii	0	0	0	4	0
Halomicrococcus_gelatinilyticus	1	3	0	0	0
Halomonas_beimenensis	3	1	0	0	0
Halomonas_piscis	2	0	0	0	2
Halopseudomonas_sp._SMJS2	4	0	0	0	0
Halothece_sp._PCC_7418	1	2	0	1	0
Helicobacter_pylori	0	0	1	2	1
Herbaspirillum_robiniae	2	2	0	0	0
Hydrogenimonas_urashimensis	1	0	1	0	2
Hydrogenobacter_thermophilus	0	4	0	0	0
Hydrogenophaga_sp._YM1	0	4	0	0	0
Hymenobacter_sp._DG25A	3	1	0	0	0
Idiomarina_sp.	4	0	0	0	0
Idiomarina_sp._OT37-5b	2	2	0	0	0
Iocasia_fonsfrigidae	0	0	1	0	3
Kaistia_sp._32K	1	0	0	2	1
Kineobactrum_salinum	2	2	0	0	0
Kitasatospora_sp._KL5	1	3	0	0	0
Klebsiella_pasteurii	4	0	0	0	0
Knoellia_sp._S7-12	2	0	0	2	0
Komagataeibacter_saccharivorans	0	4	0	0	0
Kosakonia_pseudosacchari	3	1	0	0	0
Kosakonia_sacchari	0	4	0	0	0
Kribbella_sp._NBC_00482	1	3	0	0	0
Kribbella_sp._NBC_00709	0	0	1	3	0
Kutzneria_chonburiensis	1	1	0	2	0
Labilithrix_luteola	1	2	0	0	1
Lahndsivirus_rarus	0	0	0	4	0
Legionella_sp._227	4	0	0	0	0
Leifsonia_sp._21MFCrub1.1	3	1	0	0	0
Lentibacillus_daqui	0	0	1	0	3
Leucobacter_luti	2	0	2	0	0
Leuconostoc_garlicum	0	0	0	0	4
Leuconostoc_mesenteroides	0	0	0	0	4
Levilactobacillus_parabrevis	0	2	0	2	0
Levilactobacillus_zymae	2	0	1	1	0
Lichenicola_cladoniae	3	1	0	0	0
Ligilactobacillus_agilis	0	0	0	1	3
Limibacterium_fermenti	2	1	0	0	1
Limnohabitans_sp._63ED37-2	0	0	0	1	3
Limnohabitans_sp._DCL3	1	0	0	0	3
Luteithermobacter_gelatinilyticus	0	0	0	2	2
Lysinibacillus_telephonicus	0	0	0	0	4
Maribellus_comscasis	0	2	0	2	0
Marinovum_algicola	2	1	0	0	1
Marnyiella_aurantia	3	0	0	1	0
Massilia_atriviolacea	0	3	0	1	0
Massilia_oculi	1	0	0	3	0
Massilia_varians	2	2	0	0	0
Melissococcus_plutonius	0	0	2	2	0
Mesobacillus_sp._AQ2	1	2	0	0	1
Mesorhizobium_sp._M1D.F.Ca.ET.043.01.1.1	4	0	0	0	0
Mesoterricola_silvestris	3	1	0	0	0
Mesotoga_infera	4	0	0	0	0
Methanobacterium_aridiramus	4	0	0	0	0
Methanobacterium_ferruginis	4	0	0	0	0
Methanobrevibacter_millerae	1	3	0	0	0
Methanobrevibacter_sp._TLL-48-HuF1	4	0	0	0	0
Methanolobus_sp._WCC4	0	0	0	4	0
Methanolobus_sp._WCC5	0	0	0	4	0
Methanosarcina_horonobensis	0	3	0	1	0
Methanosphaera_sp._ISO3-F5	0	0	0	4	0
Methanosphaera_stadtmanae	4	0	0	0	0
Methylobacillus_flagellatus	2	0	0	2	0
Methyloversatilis_sp._RAC08	3	1	0	0	0
Microbacterium_resistens	1	0	0	3	0
Microbacterium_rhizosphaerae	0	4	0	0	0
Microbispora_hainanensis	1	2	0	1	0
Microbulbifer_sp._SAOS-129_SWC	0	2	0	0	2
Micrococcus_lylae	4	0	0	0	0
Microlunatus_soli	2	1	0	1	0
Micromonospora_echinospora	1	3	0	0	0
Micromonospora_narathiwatensis	2	2	0	0	0
Micromonospora_sp._HUAS_YX12	0	1	3	0	0
Microtetraspora_malaysiensis	2	0	2	0	0
Miniphocaeibacter_halophilus	4	0	0	0	0
Mucilaginibacter_mali	1	3	0	0	0
Mucilaginibacter_sp._21P	1	0	1	1	1
Mucilaginibacter_sp._5C4	4	0	0	0	0
Mucisphaera_calidilacus	4	0	0	0	0
Mycolicibacter_hiberniae	4	0	0	0	0
Mycolicibacterium_goodii	3	1	0	0	0
Mycolicibacterium_sp._HK-90	0	0	0	4	0
Mycoplasma_sp._NEAQ87857	1	0	0	1	2
Mycoplasma_tullyi	0	0	1	1	2
Mycoplasmopsis_cynos	3	0	0	0	1
Natronococcus_zhouii	0	4	0	0	0
Nautilia_sp._PV-1	0	4	0	0	0
Neisseria_animaloris	0	2	0	2	0
Neisseria_elongata	0	3	0	1	0
Neisseria_wadsworthii	0	0	0	0	4
Neopusillimonas_maritima	0	0	0	0	4
Neorhizobium_sp._CSC1952	1	1	0	0	2
Neptunomonas_phycophila	0	0	0	4	0
Nissabacter_sp._SGAir0207	0	1	0	3	0
Nitrospirillum_viridazoti	1	0	2	0	1
Niveispirillum_cyanobacteriorum	3	1	0	0	0
Nocardioides_dongkuii	0	4	0	0	0
Nocardioides_okcheonensis	3	1	0	0	0
Nocardiopsis_akebiae	4	0	0	0	0
Nonomuraea_sp._NBC_01738	2	1	0	1	0
Nosocomiicoccus_massiliensis	0	1	0	3	0
Novibacillus_thermophilus	0	1	0	3	0
Oceanisphaera_avium	2	0	0	2	0
Orbus_wheelerorum	2	1	0	0	1
Ornithinimicrobium_sp._W1665	3	1	0	0	0
Paenibacillus_agaridevorans	4	0	0	0	0
Paenibacillus_cellulositrophicus	0	0	0	1	3
Paenibacillus_roseopurpureus	0	0	0	4	0
Paenibacillus_sp._BR1-192	2	0	2	0	0
Paenibacillus_sp._CAA11	4	0	0	0	0
Paenibacillus_sp._FSL_H3-0469	0	0	1	3	0
Paenibacillus_sp._FSL_H8-0548	0	1	2	1	0
Paenibacillus_sp._FSL_K6-3182	0	0	0	0	4
Paenibacillus_sp._R14(2021)	0	0	0	1	3
Paenibacillus_sp._SYP-B4298	0	2	1	1	0
Paludibacterium_yongneupense	1	1	0	2	0
Paludisphaera_borealis	0	1	0	3	0
Pantoea_sp._SO10	0	4	0	0	0
Paraburkholderia_graminis	2	2	0	0	0
Paraburkholderia_largidicola	0	1	0	0	3
Paraburkholderia_sp._SOS3	0	4	0	0	0
Paracoccus_saliphilus	0	1	0	1	2
Paracoccus_yeei	3	0	0	1	0
Parasphingorhabdus_litoris	4	0	0	0	0
Pasteurella_dagmatis	0	0	0	4	0
Pediococcus_acidilactici	0	2	0	2	0
Pelistega_ratti	0	0	3	0	1
Pendulispora_brunnea	0	1	0	3	0
Peterkaempfera_podocarpi	2	0	2	0	0
Petrimonas_sp.	3	1	0	0	0
Phormidium_nigroviride	0	0	0	3	1
Phytobacter_ursingii	2	2	0	0	0
Pirellulimonas_nuda	2	0	1	1	0
Planctomyces_sp._SH-PL14	0	1	0	3	0
Planctopirus_ephydatiae	4	0	0	0	0
Planktothricoides_raciborskii	0	0	2	0	2
Planococcus_massiliensis	1	1	0	2	0
Plantactinospora_sp._KBS50	2	0	0	2	0
Polaribacter_dokdonensis	4	0	0	0	0
Polaromonas_vacuolata	0	0	0	0	4
Prevotella_fusca	2	1	0	1	0
Promicromonospora_sp._Populi	2	2	0	0	0
Propioniciclava_soli	1	0	0	1	2
Proteinivorax_hydrogeniformans	0	0	2	0	2
Pseudalkalibacillus_sp._A8	0	0	2	0	2
Pseudanabaena_galeata	2	0	2	0	0
Pseudocitrobacter_faecalis	3	1	0	0	0
Pseudodesulfovibrio_cashew	4	0	0	0	0
Pseudodesulfovibrio_tunisiensis	2	1	0	1	0
Pseudoduganella_aquatica	0	3	1	0	0
Pseudofrankia_inefficax	4	0	0	0	0
Pseudogulbenkiania_sp._NH8B	1	3	0	0	0
Pseudomonas_cremoricolorata	4	0	0	0	0
Pseudomonas_sp._L5B5	4	0	0	0	0
Pseudonocardia_dioxanivorans	0	4	0	0	0
Pyrobaculum_aerophilum	0	0	4	0	0
Pyxidicoccus_parkwayensis	1	2	0	1	0
Qipengyuania_soli	4	0	0	0	0
Radiobacillus_kanasensis	0	0	0	1	3
Rhodanobacter_thiooxydans	2	1	1	0	0
Rhodococcus_antarcticus	4	0	0	0	0
Rhodococcus_gordoniae	2	2	0	0	0
Rhodoferax_sp._WC2427	3	1	0	0	0
Rhodomicrobium_lacus	2	1	0	1	0
Rhodospirillum_rubrum	3	1	0	0	0
Robiginitalea_biformata	3	0	0	1	0
Roseateles_sp.	1	3	0	0	0
Roseomonas_sp._CCTCC_AB2023176	3	1	0	0	0
Roseovarius_sp._SCSIO_43702	1	3	0	0	0
Rosistilla_carotiformis	2	2	0	0	0
Rubrivirga_sp._IMCC45206	0	0	4	0	0
Saccharibacillus_brassicae	1	3	0	0	0
Saccharococcus_caldoxylosilyticus	0	0	3	0	1
Saccharomonospora_marina	0	4	0	0	0
Salinispira_pacifica	1	0	0	0	3
Sandaracinobacteroides_saxicola	3	0	0	1	0
Sediminispirochaeta_smaragdinae	0	1	1	0	2
Serinicoccus_hydrothermalis	3	1	0	0	0
Shewanella_basaltis	0	0	4	0	0
Shewanella_sp._MTB7	0	0	2	0	2
Shewanella_sp._OMA3-2	0	0	3	1	0
Shinella_sp._PSBB067	2	2	0	0	0
Silicimonas_algicola	3	0	0	1	0
Skermanella_pratensis	3	1	0	0	0
Sphaerochaeta_pleomorpha	0	1	3	0	0
Sphingobium_sp._R-21	1	0	2	0	1
Sphingomonas_sp._KC8	3	1	0	0	0
Sphingomonas_sp._LY29	0	4	0	0	0
Sporanaerobacter_sp.	4	0	0	0	0
Sporolactobacillus_sp._Y61	0	0	0	4	0
Sporomusa_termitida	0	3	1	0	0
Sporosarcina_sp._FSL_W8-0480	3	1	0	0	0
Staphylococcus_simiae	0	0	2	2	0
Starkeya_sp._ORNL1	0	4	0	0	0
Stenotrophomonas_rhizophila	0	4	0	0	0
Stieleria_magnilauensis	3	1	0	0	0
Stieleria_neptunia	3	1	0	0	0
Streptococcus_halotolerans	0	0	1	2	1
Streptococcus_hillyeri	0	0	2	1	1
Streptococcus_marmotae	0	0	2	0	2
Streptococcus_respiraculi	0	0	3	0	1
Streptococcus_sp._FSL_W8-0197	0	0	0	4	0
