Taxonomy	C1	C2
Alces alces faeces associated microvirus MP21 4718	0	0
Alces alces faeces associated microvirus MP3 6497	0	0
Alces alces faeces associated smacovirus MP78	0	0
Alefpapillomavirus 1	0	0
Alethinophid 2 reptarenavirus	0	0
Alfalfa dwarf cytorhabdovirus	0	0
Alfalfa enamovirus 1	0	0
Alfalfa leaf curl virus	0	0
Alfalfa mosaic virus	0	0
Alfalfa virus F	0	0
Alfalfa virus S	0	0
Algerian watermelon mosaic virus	0	0
Algibacter alginicilyticus	0	0
Algibacter sp. L1A34	0	0
Algibacter sp. L3A6	0	0
Algicoccus marinus	0	0
Algoriphagus machipongonensis	0	0
Algoriphagus sanaruensis	0	0
Algoriphagus sp. Y33	0	0
Aliarcobacter faecis	0	0
Alicycliphilus denitrificans	0	5
Alicyclobacillus acidocaldarius	0	0
Alienimonas californiensis	0	0
Aliivibrio fischeri	0	0
Aliivibrio salmonicida	0	0
Aliivibrio wodanis	0	0
Alistipes communis	1	0
Alistipes dispar	0	0
Alistipes finegoldii	0	0
Alistipes indistinctus	2	0
Alistipes megaguti	0	0
Alistipes onderdonkii	0	0
Alistipes shahii	1	0
Alistipes sp. dk3624	0	0
Alkalihalobacillus clausii	0	0
Alkalihalobacillus halodurans	0	0
Alkalihalobacillus krulwichiae	0	0
Alkalihalobacillus lehensis	0	0
Alkalihalobacillus pseudofirmus	0	0
Alkalilimnicola ehrlichii	0	0
Alkaliphilus metalliredigens	1	0
Alkaliphilus oremlandii	0	0
Alkalitalea saponilacus	0	0
Allamanda leaf curl virus	0	0
Allamanda leaf mottle distortion virus	0	0
Allium cepa amalgavirus 1	0	0
Allium cepa amalgavirus 2	0	0
Allium virus X	0	0
Alloactinosynnema sp. L-07	0	0
Allochromatium vinosum	0	0
Allofrancisella frigidaquae	0	0
Allofrancisella guangzhouensis	0	0
Allofrancisella inopinata	0	0
Allokutzneria albata	0	0
Alloprevotella sp. E39	4	0
Allopseudarcicella aquatilis	0	0
Allpahuayo mammarenavirus	0	0
Almpiwar sripuvirus	0	0
Alphaarterivirus equid	0	0
Alphacoronavirus 1	0	0
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015	0	0
Alphalipothrixvirus SBFV2	0	0
Alphalipothrixvirus SFV1	0	0
Alphamesonivirus 10	0	0
Alphamesonivirus 1	0	0
Alphamesonivirus 2	0	0
Alphamesonivirus 3	0	0
Alphamesonivirus 4	0	0
Alphamesonivirus 5	0	0
Alphamesonivirus 6	0	0
Alphamesonivirus 7	0	0
Alphamesonivirus 8	0	0
Alphamesonivirus 9	0	0
Alphapapillomavirus 10	0	0
Alphapapillomavirus 11	0	0
Alphapapillomavirus 12	0	0
Alphapapillomavirus 13	0	0
Alphapapillomavirus 1	0	0
Alphapapillomavirus 14	0	0
Alphapapillomavirus 2	0	0
Alphapapillomavirus 3	0	0
Alphapapillomavirus 4	0	0
Alphapapillomavirus 5	0	0
Alphapapillomavirus 6	0	0
Alphapapillomavirus 7	0	0
Alphapapillomavirus 8	0	0
Alphapapillomavirus 9	0	0
Alphapleolipovirus HHPV1	0	0
Alphapleolipovirus HHPV2	0	0
Alphapleolipovirus HRPV1	0	0
Alphapleolipovirus HRPV2	0	0
Alphapleolipovirus HRPV6	0	0
Alphaproteobacteria virus phiJl001	0	0
alpha proteobacterium endosymbiont of Amoeba proteus	0	0
Alpinia mosaic virus	0	0
Alstroemeria mosaic virus	0	0
Alstroemeria virus X	0	0
Alstroemeria yellow spot orthotospovirus	0	0
Altererythrobacter amylolyticus	0	0
Altererythrobacter atlanticus	0	2
Altererythrobacter dongtanensis	0	1
Altererythrobacter epoxidivorans	0	3
Altererythrobacter ishigakiensis	0	0
Altererythrobacter mangrovi	0	0
Altererythrobacter marensis	0	0
Altererythrobacter namhicola	0	0
Altererythrobacter sp. B11	0	0
Altererythrobacter sp. BO-6	0	1
Altererythrobacter sp. TH136	0	2
Altererythrobacter sp. ZODW24	0	2
Alternanthera mild mosaic virus	0	0
Alternanthera mosaic virus	0	0
Alternanthera yellow vein betasatellite	0	0
Alternanthera yellow vein virus	0	0
Alternaria alternata chrysovirus	0	0
Alternaria alternata virus 1	0	0
Alternaria arborescens mitovirus 1	0	0
Alternaria arborescens victorivirus 1	0	0
Alternaria brassicicola betaendornavirus 1	0	0
Alternaria brassicicola fusarivirus 1	0	0
Alternaria longipes dsRNA virus 1	0	0
Alteromonas addita	0	0
Alteromonas australica	0	0
Alteromonas macleodii	0	0
Alteromonas mediterranea	0	0
Alteromonas naphthalenivorans	0	0
Alteromonas pelagimontana	0	0
Alteromonas phage vB_AcoS-R7M	0	0
Alteromonas phage vB_AmaP_AD45-P1	0	0
Alteromonas phage vB_AmeM_PT11-V22	0	0
Alteromonas sp. 76-1	0	0
Alteromonas sp. BL110	0	0
Alteromonas sp. Mac1	0	0
Alteromonas sp. MB-3u-76	0	0
Alteromonas sp. RKMC-009	0	0
Alteromonas sp. RW2A1	0	0
Alteromonas stellipolaris	0	0
Alteromonas virus H4-4	0	0
Altibacter sp. ALE3EI	0	0
Alysiella filiformis	0	0
Amaranthus leaf mottle virus	0	0
Amasya cherry disease associated chrysovirus	0	0
Amazon lily mild mottle virus	0	0
