# Gene Family	C1_Abundance-RPKs
K00969|g__Fusobacterium.s__Fusobacterium_nucleatum	16.41
K00971	8.661
K00971|unclassified	8.661
K00973	6.369
K00973|g__Prevotella.s__Prevotella_nigrescens	6.369
K00974	6.393
K00974|g__Filifactor.s__Filifactor_alocis	1.619
K00974|g__Fusobacterium.s__Fusobacterium_nucleatum	4.774
K00975	36.051
K00975|g__Fusobacterium.s__Fusobacterium_nucleatum	36.051
K00979	15.672
K00979|g__Fusobacterium.s__Fusobacterium_nucleatum	15.672
K00980	8.219
K00980|g__Fusobacterium.s__Fusobacterium_nucleatum	8.219
K00981	12.716
K00981|g__Fusobacterium.s__Fusobacterium_nucleatum	7.488
K00981|g__Prevotella.s__Prevotella_nigrescens	5.229
K00986	1.053
K00986|g__Fusobacterium.s__Fusobacterium_nucleatum	1.053
K00991	21.599
K00991|g__Fusobacterium.s__Fusobacterium_nucleatum	18.373
K00991|g__Prevotella.s__Prevotella_nigrescens	3.226
K00995	38.601
K00995|g__Filifactor.s__Filifactor_alocis	4.739
K00995|g__Fusobacterium.s__Fusobacterium_nucleatum	33.862
K01000	12.694
K01000|g__Fusobacterium.s__Fusobacterium_nucleatum	10.142
K01000|g__Prevotella.s__Prevotella_nigrescens	2.553
K01007	3.376
K01007|g__Filifactor.s__Filifactor_alocis	3.376
K01012	19.191
K01012|g__Filifactor.s__Filifactor_alocis	6.788
K01012|g__Fusobacterium.s__Fusobacterium_nucleatum	5.086
K01012|unclassified	7.317
K01035	17.699
K01035|g__Fusobacterium.s__Fusobacterium_nucleatum	17.699
K01039	12.735
K01039|g__Filifactor.s__Filifactor_alocis	2.342
K01039|g__Fusobacterium.s__Fusobacterium_nucleatum	10.393
K01040	8.521
K01040|g__Fusobacterium.s__Fusobacterium_nucleatum	8.521
K01056	10.544
K01056|g__Fusobacterium.s__Fusobacterium_nucleatum	4.202
K01056|g__Prevotella.s__Prevotella_nigrescens	6.342
K01069	15.267
K01069|g__Fusobacterium.s__Fusobacterium_nucleatum	15.267
K01077	9.455
K01077|unclassified	9.455
K01079	10.442
K01079|g__Prevotella.s__Prevotella_nigrescens	10.442
K01081	4.054
K01081|g__Prevotella.s__Prevotella_nigrescens	4.054
K01091	1.608
K01091|g__Filifactor.s__Filifactor_alocis	1.608
K01119	6.026
K01119|g__Prevotella.s__Prevotella_nigrescens	6.026
K01126	27.984
K01126|g__Fusobacterium.s__Fusobacterium_nucleatum	27.984
K01142	19.095
K01142|g__Fusobacterium.s__Fusobacterium_nucleatum	13.595
K01142|unclassified	5.5
K01154	2.32
