Genus	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
g__GGB9602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04706	0.01094	0	0.00893	0.01188
g__GGB3176	0	0	0.0786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07801	0
g__GGB53985	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0764	0	0	0	0
g__GGB3345	0	0	0	0.0753	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3612	0	0	0.01039	0	0	0	0	0	0	0	0	0	0	0.06374	0	0	0	0
g__GGB9603	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07236	0	0	0	0
g__GGB1339	0	0	0.07207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06133	0	0	0.0085
g__Longibaculum	0	0	0.00654	0	0	0	0	0	0	0	0	0.06217	0	0	0	0	0	0
g__GGB9261	0	0	0.06838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB4584	0	0	0.06823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Nanosynsacchari	0	0	0	0	0.00527	0	0	0	0	0.01277	0.03874	0	0.00113	0	0	0	0.00895	0.0012
g__GGB9524	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05517	0.00859	0	0	0
g__GGB9495	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05883	0	0	0	0.00481
g__Christensenella	0.0012	0.03681	0	0.0041	0	0	0	0	0	0	0	0	0.00061	0.01129	0.00394	0.00417	0.00032	0
g__GGB33512	0.02252	0	0	0	0.03863	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03883	0	0	0.0219
g__GGB33586	0	0	0	0	0.03603	0	0	0	0	0	0	0	0.00306	0.02163	0	0	0	0
g__GGB51441	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01779	0	0	0.02573	0.01526
g__GGB9345	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.04713	0	0	0.00714	0
g__GGB4578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05624	0
g__GGB9646	0	0	0	0	0	0	0	0	0	0	0	0	0.00549	0.05039	0	0	0	0
g__GGB3000	0	0	0	0	0.02379	0	0	0	0	0	0	0	0	0.03191	0	0	0	0
g__Cloacibacillus	0	0	0	0	0.05454	0	0	0	0	0	0	0	0	0	0.00085	0	0	0
g__Rothia	0	0	0	0	0	0	0	0	0	0.01897	0.01193	0	0.00309	0.01379	0.00678	0	0	0
g__Gardnerella	0	0	0	0	0	0	0	0	0.05373	0	0	0	0	0	0	0	0	0
g__GGB14025	0	0	0	0	0.02095	0	0	0	0	0	0	0	0.03273	0	0	0	0	0
g__GGB9501	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05316	0	0	0	0
g__GGB9293	0	0	0	0.04052	0	0	0	0	0	0	0	0	0	0	0.01118	0	0	0
g__Comamonas	0	0	0	0.05146	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB15850	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04664	0	0	0	0
g__GGB9766	0	0	0	0.03041	0	0	0	0	0	0	0	0	0	0	0	0	0.01533	0
g__Limosilactobacillus	0.02244	0	0	0.01926	0	0	0	0	0	0.00361	0	0	0	0	0	0	0	0
g__Sphingomonas	0	0	0	0	0	0	0	0	0	0.03907	0.00607	0	0	0	0	0	0	0
g__GGB3817	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04506	0	0	0	0
g__GGB9575	0	0	0	0	0	0.0434	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1456	0	0	0	0	0	0	0	0	0.00205	0	0	0	0	0	0	0	0.04044	0.00071
g__GGB9759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02389	0.01916	0
g__Aggregatibacter	0.0427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerosacchariphilus	0	0	0	0	0	0	0	0	0	0	0	0	0.03097	0.01087	0.00032	0	0	0
g__GGB9621	0	0	0	0.04143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Dakarella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04011	0	0	0
g__GGB3588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01261	0.02745	0
g__GGB3537	0	0	0	0.03874	0	0	0	0	0	0	0	0	0.00129	0	0	0	0	0
g__Lachnotalea	0	0	0	0.01097	0.01519	0	0	0	0	0	0	0	0.01367	0	0	0	0	0
g__GGB3828	0	0	0	0.00402	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03543
g__GGB12794	0	0	0	0	0	0	0.03909	0	0	0	0	0	0	0	0	0	0	0
g__Paraeggerthella	0	0	0	0	0	0	0	0	0	0	0	0.03858	0	0	0	0	0	0
g__GGB3005	0.00182	0	0	0.01963	0	0.01556	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Metaruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0.03669	0	0	0	0	0
g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0.00059	0	0	0	0.03603	0
g__Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.01522	0	0	0	0
g__GGB9424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02477	0	0	0	0.01075
g__Fenollaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03546	0
g__GGB9661	0	0	0	0.03469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Catenibacillus	0	0	0	0	0	0.02604	0	0	0	0	0	0	0	0.00501	0	0	0.00232	0
g__GGB3002	0	0	0	0	0.01558	0	0	0	0	0	0	0	0.00229	0.01465	0	0	0	0
g__GGB51269	0	0	0.03219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB52106	0	0	0.0034	0.02743	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaeromassilibacillus	0	0	0	0	0	0.01534	0	0	0	0	0	0	0.01519	0	0	0	0	0
g__Coprobacillus	0	0.03041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB2848	0	0	0.01581	0	0.0103	0	0	0	0	0	0	0	0.00034	0.00326	0	0	0	0
g__Raoultibacter	0.00242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02425	0	0.00298	0
g__Candidatus_Parachristensenella	0	0	0.01224	0	0	0	0	0	0	0	0	0	0	0.01728	0	0	0	0
g__Candidatus_Alloruminococcus	0	0	0.00195	0	0.00384	0	0	0	0	0	0	0	0.01425	0.00756	0.00177	0	0	0
g__GGB51884	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02859	0	0	0	0
g__GGB9775	0	0	0	0	0.02843	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02716
g__GGB58233	0	0	7e-05	0.00813	0.01125	0	0	0	0	0	0	0	0.00698	0	0	0	0	0
g__GGB9640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02499	0
g__GGB59744	0	0	0.00532	0	0.01708	0	0	0	0	0	0	0	0.00245	0	0	0	0	0
g__Harryflintia	0.00052	0	0.00347	0	0.00926	0	0	0	0	0	0	0	0	0.01127	0	0	0	0
g__Neobittarella	0.00355	0	0	0.00012	0.00391	0.00206	0	0	0.00046	0	0	0	0.00152	0	0.01005	0.00227	0	0
g__Candidatus_Pararuminococcus	0	0	0	0	0.02223	0	0	0	0	0	0	0	0	0.00162	0	0	0	0
g__GGB3444	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0.00178	0	0.01395	0	0
g__GGB9790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02276	0
g__Lactobacillus	0	0	0	0	0	0	0	0	0.0156	0	0	0	0	0.00146	0	0	0	0.00567
g__GGB6529	0	0	0	0	0	0	0	0	0	0	0	0	0.02271	0	0	0	0	0
g__GGB3602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227	0	0	0	0
g__Pseudoglutamicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00564	0	0.017	0
g__GGB9186	0	0	0	0	0	0	0	0	0	0	0	0	0.02256	0	0	0	0	0
g__GGB9414	0	0	0	0	0	0	0	0	0	0	0	0	0.0223	0	0	0	0	0
g__GGB4768	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02216	0	0	0	0
g__Lacticaseibacillus	0	0	0	0	0	0	0	0	0	0	0.02177	0	0	0	0	0	0	0
g__Sanguibacter	0	0	0	0	0.02024	0	0	0	0	0	0	0	0	0	0.00037	0	0	0
g__Campylobacter	0	0	0	0.0199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9770	0	0	0	0	0.01712	0	0	0	0	0	0	0	0	0.00246	0	0	0	0
g__GGB58158	0	0	0	0	0	0.01513	0	0	0	0	0	0	0.00347	0	0.00064	0	0	0
g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01873
g__GGB3528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871
g__GGB9522	0	0	0	0	0	0	0	0	0	0	0	0	0.00402	0.00158	0.01255	0	0	0
g__GGB38744	0	0	0	0	0.00642	0	0	0	0	0	0	0	0.00297	0.00851	0	0	0	0
g__GGB51959	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01717	0	0	0	0
g__GGB79654	0	0	0.01706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Pseudobutyricicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0.01689	0	0	0	0	0
g__GGB9818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01651	0	0	0
g__GGB3061	0	0	0	0	0.00691	0	0	0	0	0	0	0	0	0.00954	0	0	0	0
g__Candidatus_Geddesella	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01638	0	0	0	0
g__GGB9788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01274	0.00346	0	0	0
g__GGB16040	0	0	0.00124	0.01491	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9765	0	0	0	0	0	0	0	0	0	0	0	0	0.0132	0.00277	0	0	0	0
g__Enorma	0	0	0	0	0	0	0	0	0	0	0	0	0.01384	0	0	0	0	0
g__GGB3892	0	0	0	0	0	0	0	0	0	0	0	0	0.00887	0.00494	0	0	0	0
g__GGB35068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00191	0	0.00433	0.00729
g__GGB79741	0	0	0	0	0	0	0	0	0	0	0	0	0.01328	0	0	0	0	0
g__GGB9786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01326	0
g__GGB4684	0	0	0.01323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Massilistercora	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01278	0	0	0	0
g__Candidatus_Paralachnospira	0	0	0	0	0.01068	0	0	0	0	0	0	0	0.00195	0	0	0	0	0
g__GGB3490	0.01252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB39037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01204	0
g__GGB3491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01191	0
g__Bacilliculturomica	0	0	0.00905	0	0.00025	0	0	0	0	0	0	0	0	0	0.00239	0	0	0
g__Selenomonas	0	0	0	0.01112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9185	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01074	0	0	0	0
g__GGB3534	0	0	0	0	0.01056	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Intestinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00408	0.00617	0	0
g__GGB51510	0	0	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0.00346	0	0
g__Bittarella	0	0	0	0	0	0	0	0	0	0	0	0	0.01012	0	0	0	0	0
g__GGB45432	0	0	0	0	0	0	0	0	0	0	0	0	0.00976	0	0	0	0	0
g__GGB9787	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00963	0	0	0	0
g__GGB6554	0	0	0.00934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB34228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00366	0	0.00184	0.00365
g__GGB9527	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00855	0	0	0	0
g__GGB3486	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00847	0	0	0	0
g__Angelakisella	0	0	0	0	0.00822	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Delftia	0	0	0	0	0	0	0	0	0	0.00768	0.00046	0	0	0	0	0	0	0
g__Candidatus_Avimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00774	0	0	0	0
g__GGB3226	0	0	0.00742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB6518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00709	0	0	0
g__GGB3204	0	0	0.00701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB58714	0	0.00686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0.00085	0.00356	0	0	0	0.00232
g__Candidatus_Neochristensenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00651	0	0	0	0
g__GGB79758	0	0	0	0.00646	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0.00188
g__Anaerofilum	0	0	0	0.00139	0	0	0	0	0	0	0	0	0.00248	0.00137	0.00047	0	0	0
g__GGB79634	0	0	0	0	0	0	0	0.00073	0.00439	0	0	0	0	0	0	0.00038	0	0
g__GGB55957	0	0.00501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB4605	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00427	0	0	0	0
g__Faecalitalea	0	0	0	0	0.00424	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Providencia	0	0	0	0	0	0	0	0.00411	0	0	0	0	0	0	0	0	0	0
g__Methylobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00343	0	0	0	0
g__GGB9620	0	0	0	0	0	0	0	0	0	0	0	0	0.00336	0	0	0	0	0
g__GGB2987	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1215	0	0	0	0	0	0.00316	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00305	0	0	0
g__Ellagibacter	0	0	0.00285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB2945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00276	0
g__GGB3616	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244	0	0	0	0
g__GGB4588	0	0	0.00198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Paeniclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00197	0	0	0
g__GGB36267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192	0	0	0
g__Lactonifactor	0	0	0	0	0	0.00174	0	0	0	0	0	0	0	0	0	0	0	0
g__Sanguibacteroides	0	0	0.00045	0	0.00126	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Isoptericola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00165
g__GGB9724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153	0	0	0
g__GGB80000	0	0	0	0	0	0	0	0	0	0	0	0	0.00151	0	0	0	0	0
g__Victivallis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149	0	0	0	0
g__GGB3538	0	0	0	0	0.00146	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB80073	0	0	0	0	0	0	0	0	0.00146	0	0	0	0	0	0	0	0	0
g__GGB79652	0	0	0	0	0.00145	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lautropia	0.00137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gordonia	0	0	0	0	0	0	0	0	0	0.00127	0	0	0	0	0	0	0	0
g__GGB1146	0	0	0	0	0	0.00122	0	0	0	0	0	0	0	0	0	0	0	0
g__Culturomica	0	0	0	0.00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107
g__GGB8965	0	0	0	0	0	0	0	0	0	0	0	0	0.00094	0	0	0	0	0
g__GGB4979	0	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9469	0	0	0	0	0.00074	0.00016	0	0	0	0	0	0	0	0	0	0	0	0
g__Raoultella	0	0	0	0	0	0	0	0.00052	0	0	0	0	0	0	0	0	0	0
g__GGB1460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0
g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035	0
g__GGB3570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033	0
g__GGB2980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-05	0
g__Anaerofustis	0	4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
