Genome	Kingdom	Phylum	Class	Order	Family	Genus	Species
Mx_All_89	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor_plautii
Mx_All_9	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp900066565
Mx_All_90	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli
Mx_All_91	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_sp900313215
Mx_All_92	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia_ramosa
Mx_All_93	Bacteria	Bacillota_A	Clostridia	UBA1381	UBA1381	CAG-41	CAG-41_sp900066215
Mx_All_94	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_massiliensis
Mx_All_95	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A_sp900066335
Mx_All_96	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_stercorea
Mx_All_97	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_bolteae
