Genus	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Acetobacterium	144	148	194	103	76	167	32	48	40	203	67	144	263	110	145	101	207
Desulfosarcina	176	139	123	146	77	124	132	89	127	302	23	111	126	48	71	217	161
Pontibacter	260	217	100	424	268	169	65	79	240	60	11	42	74	35	58	31	59
Leptotrichia	126	111	147	216	148	112	7	51	5	28	85	170	315	281	140	171	67
Polynucleobacter	183	171	94	440	134	171	43	87	92	99	53	96	113	111	134	70	85
Microbulbifer	108	197	56	447	102	121	59	81	181	141	83	60	115	25	82	145	170
Abiotrophia	15	50	704	50	93	78	3	6	9	0	263	575	141	28	71	73	13
Yersinia	76	257	262	111	225	212	87	73	106	258	43	73	153	29	77	85	26
Leucobacter	350	130	62	47	44	60	84	195	150	365	91	98	118	7	56	176	118
Phoenicibacter	25	136	548	7	60	41	22	4	0	53	31	83	797	3	47	284	10
Coriobacterium	185	102	61	39	84	74	104	47	69	149	783	30	61	0	79	228	33
Novosphingobium	230	163	65	138	91	102	83	185	153	367	83	99	101	5	71	106	79
Sinorhizobium	179	148	144	259	101	134	72	145	124	194	44	81	81	24	95	170	124
Lelliottia	166	79	494	8	105	33	374	218	259	272	4	21	13	0	23	24	13
Hydrogenophaga	270	123	52	71	85	127	198	182	188	380	38	73	73	5	106	63	64
Candidatus_Formimonas	74	136	128	186	134	182	34	60	58	42	28	188	94	4	96	560	68
Actinoplanes	232	159	111	46	84	109	155	124	218	306	64	74	71	13	44	96	156
Spiroplasma	47	233	149	78	180	81	285	118	16	16	49	99	441	38	91	59	82
Sporosarcina	92	126	112	132	135	276	27	73	48	52	143	125	111	212	108	110	176
Eponavirus	3	1732	7	5	46	1	0	150	0	0	0	73	0	0	2	0	1
Pandoraea	240	147	60	142	124	160	41	95	202	175	70	98	175	3	31	129	126
Pelosinus	20	151	91	33	55	158	1	4	21	6	205	239	321	66	276	332	38
Anaerococcus	38	87	289	54	116	70	154	89	7	343	363	45	131	67	37	32	91
Rubrobacter	254	143	84	50	39	61	169	187	237	427	42	74	24	4	45	42	106
Brevundimonas	265	154	73	187	63	68	256	176	113	214	11	55	63	4	77	46	149
Sphingopyxis	257	95	77	95	65	114	124	96	169	192	29	47	213	36	68	194	100
Marinobacter	275	203	64	107	168	116	147	82	157	129	28	63	89	13	124	56	149
Moorella	256	181	88	75	56	77	117	47	180	153	29	107	92	34	80	118	269
Companilactobacillus	52	129	100	319	150	117	37	21	23	4	167	171	418	28	71	107	43
Cupidesulfovibrio	97	329	58	234	41	67	55	105	410	174	4	1	37	0	59	8	272
Tumebacillus	204	127	56	26	67	83	48	188	99	519	43	126	105	9	88	109	45
Jeotgalibaca	113	250	295	109	108	243	6	16	10	75	57	153	162	9	197	43	85
Geotalea	38	96	43	41	37	99	39	32	70	49	68	276	246	378	108	155	102
Cohnella	234	189	114	33	71	146	47	91	158	280	62	35	74	4	70	65	203
Finegoldia	26	115	154	54	144	128	141	46	3	27	306	102	168	251	90	81	34
Macrococcus	56	130	170	121	168	101	90	33	9	8	71	89	405	104	182	76	50
Pseudonocardia	265	190	69	26	32	67	136	158	205	223	17	117	94	3	40	48	144
Geothrix	271	97	54	65	38	96	137	97	163	267	65	92	83	0	38	158	84
Ezakiella	20	61	335	28	97	750	23	20	16	12	17	30	32	35	27	56	230
Carnobacterium	38	124	170	122	171	146	27	8	17	75	30	101	455	21	113	108	53
Aurodevirus	0	0	0	0	146	3	0	0	0	0	2	0	1074	7	0	537	0
Tepidibacter	28	244	240	69	192	166	110	12	7	46	49	51	202	19	181	76	61
Plasmodium	53	261	138	135	174	145	22	15	33	10	107	82	199	62	128	109	64
Junduvirus	0	0	0	0	44	0	0	0	0	24	0	0	0	0	0	1661	0
Agromyces	249	76	55	46	58	84	126	102	107	221	49	70	93	7	52	253	80
Peribacillus	49	125	141	234	151	79	3	20	52	8	100	100	253	100	101	152	56
Sulfitobacter	328	110	67	76	65	154	71	163	172	221	30	51	59	1	49	46	61
Anaeropeptidivorans	174	110	118	117	96	91	8	97	19	51	109	87	150	43	160	90	189
Proteiniborus	205	86	68	78	112	106	20	19	13	170	17	157	305	42	223	47	38
Alkaliphilus	65	113	151	89	94	141	196	57	11	30	68	58	120	46	155	208	103
Oengusvirus	56	0	72	298	60	55	0	38	0	0	0	0	98	0	0	227	789
Aerococcus	22	151	137	117	155	117	4	40	104	16	65	157	209	87	125	125	52
Brachyspira	32	138	173	65	131	132	0	47	6	451	107	53	118	34	106	51	36
Legionella	54	152	189	263	67	209	26	41	22	32	28	51	145	31	163	51	146
Mycoplasma	56	136	104	91	173	110	11	49	8	61	83	169	110	25	123	113	239
Photobacterium	49	172	95	110	157	132	42	65	75	112	88	67	205	45	63	110	65
Petrocella	32	156	89	119	125	132	54	26	271	61	15	13	143	35	92	102	148
Mycoplasmopsis	36	150	199	96	193	201	60	20	42	56	69	91	151	65	71	29	75
Tessaracoccus	146	143	52	46	45	63	63	97	232	151	74	87	77	5	144	37	140
Saccharibacillus	108	58	35	48	44	58	47	137	71	196	42	106	130	234	105	91	88
Dickeya	97	173	286	79	126	101	68	92	117	121	51	34	45	9	111	64	21
Dyadobacter	44	128	166	343	174	80	27	38	75	24	91	59	56	70	50	97	58
Trabulsiella	102	53	293	2	23	8	296	183	153	412	2	4	7	5	18	18	0
Rhodoferax	140	181	59	74	116	108	73	120	122	242	13	39	39	1	78	68	99
Heyndrickxia	53	147	83	245	104	188	75	36	46	15	165	69	156	46	61	36	44
Thermobacillus	302	103	56	32	67	73	46	181	110	264	8	83	76	3	19	79	64
Leptogranulimonas	157	87	47	42	42	44	74	42	33	103	318	108	143	1	112	156	55
Candidatus_Epulonipiscium	50	164	100	110	188	208	14	22	12	6	40	128	244	16	64	86	108
Fretibacterium	235	120	47	36	49	67	71	118	209	213	17	50	81	2	32	87	125
Roseomonas	129	69	38	43	36	41	118	62	117	175	71	88	147	3	123	203	96
Caldicellulosiruptor	34	87	114	78	78	250	9	30	12	129	31	91	184	32	132	161	101
Shimwellia	143	32	142	4	20	3	177	129	632	220	1	8	12	0	11	9	5
Heliomicrobium	243	68	29	37	48	89	95	71	113	180	83	43	119	129	54	39	105
Superficieibacter	65	27	284	15	46	26	259	158	224	379	10	14	8	1	13	7	8
Pseudescherichia	29	58	121	0	22	11	488	310	85	378	1	3	6	0	13	9	6
Cytobacillus	44	340	123	43	99	130	23	8	19	11	66	75	221	28	153	67	81
Pectobacterium	102	99	296	20	117	59	88	88	96	121	67	63	59	18	80	94	61
Curtobacterium	216	82	45	34	39	27	98	142	109	320	62	43	48	13	148	23	66
Polaribacter	32	274	130	243	156	81	29	12	23	7	44	63	123	18	122	91	65
Rossellomorea	45	111	105	128	161	186	72	33	9	52	45	163	131	86	62	60	49
Siccibacter	85	45	305	5	56	22	288	181	188	265	0	7	6	2	18	10	14
Virgibacillus	42	171	109	133	141	249	5	16	18	20	140	129	91	15	105	50	62
Glutamicibacter	52	58	32	13	113	39	515	77	38	42	111	186	93	35	32	26	31
Acidovorax	77	138	85	146	72	68	78	135	127	97	37	83	78	13	69	100	63
Janthinobacterium	74	63	85	59	56	70	62	146	111	228	32	44	68	19	105	80	161
Pseudarthrobacter	29	88	42	42	57	78	26	49	79	67	245	173	130	72	119	66	96
Halobacillus	60	93	164	70	152	112	6	12	15	18	60	83	219	83	147	66	94
Metabacillus	19	123	177	110	156	174	7	7	3	16	17	106	223	16	207	63	30
Kitasatospora	183	93	59	32	70	55	136	120	77	231	60	50	61	59	59	41	62
Symbiobacterium	225	48	34	15	11	42	168	111	145	418	4	15	75	4	42	37	50
Candidatus_Minimicrobia	176	20	8	4	18	58	6	6	0	4	402	96	22	68	88	272	186
Herbaspirillum	128	125	78	60	90	106	77	127	206	81	29	54	48	6	30	25	160
Sporomusa	289	120	28	43	57	100	56	105	117	228	9	29	55	31	44	69	44
Desulfosporosinus	46	109	151	71	57	123	31	53	33	30	61	48	158	97	139	47	168
Aeromicrobium	157	121	46	42	59	53	65	131	169	283	34	70	47	20	26	20	73
Tyzzerella	37	123	79	49	126	115	3	61	4	212	44	24	57	78	51	317	28
Desulfuromonas	143	136	44	34	32	71	91	109	139	182	62	47	106	0	31	93	87
Tannockella	62	168	48	17	81	94	12	0	5	37	172	91	506	12	52	25	21
Oceanobacillus	16	122	86	37	165	114	2	14	10	15	119	148	133	114	120	78	85
Gelria	183	71	26	50	43	67	52	101	148	327	0	19	18	1	5	42	220
Fusarium	51	102	67	57	40	105	63	53	91	151	17	126	99	78	143	77	50
Desulfobulbus	63	129	51	129	178	115	55	96	93	126	6	106	37	0	15	27	132
Solidesulfovibrio	81	123	46	135	51	75	52	66	195	205	22	30	55	2	35	60	122
Chromobacterium	157	116	105	41	49	35	80	68	103	169	27	71	93	15	35	59	131
Alkalibacter	160	61	14	27	53	27	100	204	191	50	9	69	32	17	67	61	209
Methylomonas	120	181	54	270	70	51	22	90	110	73	7	30	34	44	41	14	134
Rhodopseudomonas	75	133	28	77	89	121	42	56	136	108	33	86	77	3	54	103	122
Niallia	33	122	83	258	77	101	41	8	1	10	48	114	157	73	81	51	83
Desulfomicrobium	49	167	72	116	19	48	44	35	246	210	49	6	48	9	39	44	131
Marinomonas	142	78	107	232	95	88	18	28	47	8	16	77	186	45	51	19	94
Toutatisvirus	0	0	321	27	4	92	0	0	0	0	0	15	0	0	87	30	751
Providencia	43	108	73	123	50	103	80	36	34	190	50	77	83	38	77	34	124
Stutzerimonas	59	99	44	74	77	129	49	76	111	157	11	58	100	3	27	71	173
Sorangium	279	104	53	32	14	42	41	154	165	177	23	37	47	3	37	66	38
Dyella	76	103	72	36	42	78	43	47	135	171	75	113	60	30	69	88	70
Sulfurimonas	38	122	112	145	74	120	13	35	99	152	30	46	165	5	56	57	32
Pseudoclostridium	146	94	78	28	34	52	28	80	60	325	17	66	66	38	32	66	86
Nostoc	49	77	54	207	35	98	15	28	69	27	24	86	92	74	65	35	247
Helicobacter	57	139	81	48	75	118	12	68	133	27	61	84	57	31	63	58	167
Echinicola	92	90	117	88	203	116	8	20	110	15	40	61	75	99	47	25	66
Exiguobacterium	126	58	186	91	116	92	14	99	65	49	6	43	183	13	44	44	43
Cellulosilyticum	48	60	95	51	43	241	22	12	1	5	137	185	112	39	46	74	100
Erythrobacter	100	97	64	254	34	63	77	101	61	176	55	54	40	4	30	12	41
Geomonas	218	98	33	42	12	27	97	151	132	220	3	55	37	2	44	18	74
Sedimentibacter	33	170	175	54	97	180	13	17	10	11	40	58	127	6	99	68	62
Candidatus_Promineifilum	208	80	52	34	6	44	66	118	182	270	2	14	34	0	2	52	42
Jonquetella	248	70	9	32	16	25	101	157	147	177	6	26	32	10	38	8	97
Nitrospira	219	107	33	16	52	56	67	126	112	222	15	27	27	3	21	20	50
Ornithinimicrobium	159	46	39	41	42	45	70	99	87	230	79	52	72	6	46	19	38
Cardiobacterium	247	60	13	66	11	26	129	48	106	187	5	178	26	0	16	25	20
Mesomycoplasma	88	37	59	22	48	31	109	71	166	20	4	113	46	41	36	78	188
Methylocystis	160	64	21	40	24	47	70	202	129	279	20	19	24	5	19	10	17
Nonlabens	107	70	54	233	166	80	1	29	95	7	7	15	19	12	33	23	195
Thermoclostridium	70	106	54	253	53	123	10	41	7	101	5	35	99	5	70	51	58
Shinella	99	82	29	74	48	34	43	120	104	274	16	61	67	12	22	11	37
Luteibacter	93	105	35	54	32	49	63	101	133	213	12	25	28	3	40	27	118
Myxococcus	115	65	27	37	33	79	106	158	102	192	9	21	70	1	23	49	41
Rathayibacter	177	134	23	57	59	78	58	71	141	121	7	40	58	1	31	20	46
Streptosporangium	174	40	26	10	6	34	107	58	168	119	15	61	49	1	39	181	28
Actinomadura	124	61	30	27	39	47	92	113	61	188	17	59	56	2	50	95	50
Saccharothrix	84	76	28	24	49	36	47	114	145	199	16	66	58	0	51	55	63
Moineauvirus	6	0	17	5	5	0	0	0	0	1	27	942	16	1	3	70	15
Kahnovirus	0	0	4	3	1080	9	0	0	0	0	2	0	0	0	3	3	0
Gardnerella	10	44	13	33	53	75	42	68	2	8	174	54	60	203	88	20	151
Fenollaria	157	51	413	14	89	123	4	24	6	43	8	10	35	4	10	58	47
Leifsonia	58	53	39	64	37	18	47	89	45	160	7	45	123	13	31	212	53
Gloeobacter	158	48	43	29	33	51	71	72	176	145	25	42	48	1	16	101	32
Nonomuraea	81	78	70	29	22	56	78	132	132	119	20	22	80	13	55	40	60
Methylomusa	31	55	12	5	17	30	27	46	94	36	93	45	37	407	42	85	20
Terribacillus	11	61	31	171	56	69	44	15	2	82	124	185	146	29	30	18	5
Morganella	76	177	85	30	72	51	103	76	80	152	4	18	24	9	32	60	28
Dermacoccus	30	60	12	11	216	16	12	27	74	31	82	145	251	23	31	34	21
Moraxella	26	94	77	298	82	76	13	46	35	67	19	31	101	10	63	14	23
Allomuricauda	15	109	95	233	137	70	11	58	54	117	8	35	39	0	31	13	48
Cutibacterium	54	107	40	26	107	82	22	24	47	107	57	105	125	20	68	50	32
Rahnella	30	81	120	28	27	21	354	46	51	90	68	34	65	2	14	17	25
Microlunatus	113	69	75	81	69	52	71	28	26	42	30	78	129	14	57	99	38
Kutzneria	101	85	39	44	20	37	56	138	140	163	48	27	40	2	64	34	27
Halanaerobium	15	60	132	73	83	156	86	15	5	15	54	37	94	146	58	16	12
Jejubacter	42	39	128	7	13	23	162	98	135	190	16	51	46	1	8	79	14
Mahella	38	48	44	18	14	40	2	118	104	424	0	22	16	2	28	12	120
Brucella	112	62	32	37	36	45	35	141	94	43	37	55	74	13	76	62	83
Roseovarius	74	74	54	53	41	86	32	50	37	83	27	54	101	4	66	113	82
Martelella	61	50	70	170	31	71	19	128	75	203	18	18	34	3	28	23	28
Archangium	97	57	30	17	17	28	54	44	65	118	104	33	98	6	67	146	42
Asticcacaulis	43	60	25	63	26	71	28	53	41	55	49	36	61	290	19	70	32
Blattabacterium	11	83	95	43	141	86	19	16	17	9	62	49	86	166	61	21	52
Luteolibacter	125	86	24	33	58	48	42	66	104	58	60	43	60	11	66	75	56
Azoarcus	105	78	19	59	50	61	46	103	103	144	8	25	41	9	35	20	107
Thermoanaerobacterium	34	51	128	47	64	87	131	33	3	2	25	44	112	43	80	65	61
Fictibacillus	39	119	76	106	137	110	4	14	16	30	5	30	86	22	43	79	90
Pseudoxanthomonas	55	123	47	54	48	55	58	77	71	128	31	19	46	8	46	65	75
Halopseudomonas	145	72	36	32	23	47	33	49	92	101	17	55	60	31	50	101	60
Acetobacter	54	76	39	196	70	63	20	44	95	40	8	58	60	5	39	55	76
Thermus	190	85	36	20	87	29	62	124	92	110	5	24	53	12	14	28	26
Iamia	117	27	42	32	6	47	87	77	72	31	30	83	72	0	53	177	41
Saccharopolyspora	65	81	29	61	54	54	71	89	60	67	41	54	87	3	31	108	39
Hathewaya	28	112	146	32	91	93	3	17	12	3	26	76	149	39	123	32	10
Desulfolutivibrio	96	114	80	73	49	75	35	87	97	152	10	7	23	0	24	10	53
Bdellovibrio	47	69	19	99	123	54	10	62	9	15	48	45	61	75	104	105	33
Kroppenstedtia	81	41	112	54	80	109	30	34	23	250	10	26	25	1	37	44	20
Canhaevirus	11	11	8	0	0	0	0	0	0	295	0	0	8	0	627	11	0
Ralstonia	118	105	48	47	53	50	45	27	95	189	21	16	60	2	26	16	50
Turicimonas	14	107	14	36	111	28	2	4	553	13	2	24	18	1	10	14	15
Terriglobus	50	55	62	21	40	38	35	53	39	92	74	77	63	0	63	160	40
Leptospira	33	54	47	36	85	107	3	16	25	8	28	104	157	56	83	81	35
Oceanirhabdus	26	105	204	56	78	99	93	47	1	4	16	40	57	17	79	20	16
Mydovirus	0	0	949	0	5	3	0	0	0	0	0	0	0	0	0	0	0
Kurthia	6	46	108	73	312	34	0	4	0	0	240	23	39	1	32	11	26
Ndongobacter	321	42	17	19	16	33	28	201	32	69	33	6	44	23	17	12	41
Fannyhessea	23	60	79	46	111	179	8	5	13	1	105	34	40	42	36	139	30
Neorhizobium	166	37	14	32	90	49	41	36	124	29	24	21	53	20	86	12	117
Buchnera	27	163	109	47	59	79	30	26	12	38	76	31	81	21	95	23	32
Candidatus_Cloacimonas	204	14	18	6	8	30	16	350	42	106	14	6	50	34	8	28	14
Dactylosporangium	110	57	28	55	30	59	36	63	84	205	19	65	47	6	18	27	35
Ferrimonas	79	63	28	36	31	80	21	59	97	28	11	99	73	75	59	72	30
Empedobacter	9	35	29	45	21	32	0	0	1	3	3	711	17	3	18	6	7
Caldibacillus	13	53	90	62	62	139	0	3	22	44	62	50	85	191	33	14	14
Qipengyuania	118	72	40	55	66	38	39	90	116	98	6	43	27	7	36	21	65
Gimesia	78	105	66	34	65	61	10	33	68	33	59	39	68	71	69	40	36
Pasteurella	13	23	133	343	61	66	9	10	12	6	7	47	69	57	31	20	27
Succinivibrio	185	73	109	54	42	54	24	66	51	3	22	86	33	19	8	20	85
Candidatus_Pelagibacter	34	48	24	434	36	32	12	38	32	6	8	62	103	6	48	6	4
Helcococcus	15	65	55	20	22	78	88	77	5	95	90	22	76	137	28	54	5
Luteimonas	60	70	30	54	42	39	38	75	54	129	17	33	67	3	74	106	36
Chania	2	18	13	6	11	34	1	4	3	2	245	253	190	0	56	86	1
Tetragenococcus	20	136	48	80	143	99	3	4	12	7	31	77	98	23	121	13	6
Anoxybacillus	49	59	148	42	31	102	3	26	15	5	8	63	24	8	257	29	51
Lawsonia	29	147	70	105	26	58	2	51	130	43	1	58	10	55	40	6	89
Anaeromyxobacter	138	55	18	32	36	31	64	81	126	158	36	7	39	1	27	13	54
Candidatus_Arthromitus	21	114	128	45	33	48	77	16	6	10	12	17	17	37	109	90	131
Oceanidesulfovibrio	133	102	21	37	15	14	23	133	132	203	5	0	9	0	30	5	48
Francisella	36	86	205	41	51	69	27	60	1	25	74	29	64	38	68	23	12
Gottschalkia	36	46	71	15	28	101	83	75	8	204	24	33	36	12	52	26	57
Leisingera	135	57	95	75	29	66	30	52	65	84	3	19	59	17	45	18	58
Edwardsiella	46	194	130	33	48	33	38	26	85	121	2	38	11	0	20	6	73
Candidatus_Desulforudis	202	40	8	10	46	44	144	90	26	74	2	22	58	0	8	84	42
Paludibacterium	46	48	29	124	31	53	32	74	114	135	10	23	49	3	10	67	52
Peptoclostridium	127	81	34	34	33	75	17	71	41	80	12	31	64	22	24	63	88
Arachidicoccus	13	129	79	176	104	39	3	18	43	4	32	24	92	98	14	15	11
Acidithiobacillus	63	96	40	29	51	60	34	79	57	141	10	70	42	14	33	31	43
Bartonella	37	78	52	124	113	92	13	6	15	24	28	102	81	16	39	29	44
Arcanobacterium	50	56	118	43	74	64	38	24	75	50	76	19	43	12	51	42	57
Leptolyngbya	64	64	27	139	27	59	30	67	69	144	2	24	60	9	27	13	67
Planctomyces	69	90	49	34	35	50	48	67	139	70	12	50	30	1	30	79	39
Thauera	54	75	37	49	62	94	67	38	86	76	20	33	15	5	30	92	58
Sutcliffiella	14	20	154	91	86	172	1	3	9	3	11	71	98	46	69	19	22
Chlorobaculum	62	97	40	26	26	45	36	57	65	38	62	23	82	61	72	54	42
Tissierella	29	95	161	29	34	66	137	45	3	3	9	31	47	16	72	41	66
Peptostreptococcus	14	54	146	26	43	62	66	24	2	1	22	107	76	39	53	105	33
Azospira	199	59	29	28	24	24	59	53	151	95	2	15	23	0	3	6	101
Lentilactobacillus	104	102	94	26	99	78	52	7	1	18	17	51	130	18	46	17	7
Salidesulfovibrio	154	123	29	75	15	35	23	37	146	80	0	12	20	0	7	4	107
Acidipropionibacterium	31	70	16	6	87	22	45	40	115	113	65	53	43	7	46	24	83
Algoriphagus	17	91	55	217	96	68	60	18	64	45	18	21	24	8	39	13	11
Psychrobacter	17	133	54	30	43	102	1	9	88	44	29	71	34	27	40	117	25
Mobiluncus	8	17	70	47	127	47	15	20	9	132	290	0	21	3	40	8	6
Calothrix	33	95	53	73	59	64	16	39	34	23	21	81	53	15	113	9	74
Desulfurivibrio	76	45	22	24	35	42	47	33	60	47	28	20	18	13	76	53	214
Candidatus_Sulfidibacterium	104	66	34	162	64	38	34	72	114	48	4	2	36	8	14	24	28
Polaromonas	111	66	17	42	73	66	10	31	19	73	0	52	41	6	86	58	96
Mycolicibacter	121	74	29	25	26	34	114	57	17	98	25	15	73	18	54	14	51
Diaphorobacter	97	118	18	131	40	28	60	50	92	83	7	26	38	0	11	13	32
Phyllobacterium	62	58	35	16	27	47	18	85	70	246	1	39	37	5	67	16	12
Jeotgalibacillus	18	34	43	86	35	114	2	4	14	1	32	113	191	40	68	28	17
Oleidesulfovibrio	44	92	13	93	21	26	43	80	140	177	0	3	14	0	18	2	73
Caballeronia	101	61	30	99	52	27	25	56	72	68	35	12	47	1	43	48	61
Aquisphaera	221	35	14	12	12	12	69	107	68	144	2	12	35	0	13	73	8
Skermanella	163	32	8	43	19	12	64	98	104	227	0	32	9	0	9	8	9
Aureimonas	122	60	31	53	16	33	59	68	96	120	4	52	21	8	13	24	54
Trichlorobacter	103	55	19	50	41	25	53	62	69	159	3	10	32	2	39	6	106
Edaphobacter	38	115	50	249	45	30	10	66	76	54	0	10	20	3	25	6	36
Mycobacteroides	63	64	29	27	41	53	24	135	75	81	22	40	29	1	39	25	83
Opitutus	44	39	26	20	10	35	47	87	81	61	21	51	30	0	20	129	127
Aminomonas	57	39	24	17	9	33	107	103	138	186	0	26	28	0	11	12	37
Capsulimonas	50	51	10	7	26	19	16	97	38	410	4	13	16	2	26	22	19
Pseudoduganella	64	81	28	123	32	36	74	49	82	117	11	19	35	3	15	28	26
Dehalobacterium	68	35	27	68	27	41	9	41	71	132	27	16	32	57	20	47	104
Tenacibaculum	21	62	63	55	74	84	89	30	27	11	28	74	65	28	70	24	15
Conexibacter	70	48	49	14	35	35	70	79	85	107	52	13	34	2	13	49	62
Cryptobacterium	21	53	72	15	33	12	25	12	7	318	24	41	14	35	53	37	45
Effusibacillus	21	49	16	289	70	43	7	21	11	7	6	13	53	75	62	55	18
Paludibaculum	71	40	32	24	25	37	28	108	87	44	24	32	58	0	11	122	72
Geobacillus	156	50	24	16	34	36	52	68	93	59	31	33	37	3	73	21	28
Nakamurella	55	68	13	27	23	35	31	160	49	232	7	13	34	0	20	10	37
Geosporobacter	37	93	107	78	121	97	7	5	31	4	22	27	74	2	46	33	26
Elizabethkingia	36	87	34	190	70	94	10	20	33	23	9	63	40	5	33	36	25
Heliorestis	126	58	6	5	38	16	30	62	4	260	25	13	54	4	50	38	15
Spirochaeta	107	34	26	35	46	30	44	38	151	54	1	27	38	8	69	24	71
Christiangramia	132	61	73	39	104	69	4	19	16	16	11	19	32	84	56	34	32
Salinibacterium	77	49	27	92	36	45	14	39	100	60	51	23	52	17	24	60	34
Sphaerochaeta	61	80	49	40	13	31	45	75	90	128	15	17	42	19	23	36	33
Aminithiophilus	67	55	28	13	17	22	73	65	144	175	26	9	29	2	15	23	28
Candidatus_Planktophila	18	39	58	26	118	77	37	7	8	18	11	110	44	4	64	75	76
Crossiella	145	13	27	24	15	8	30	81	99	102	11	8	93	1	13	105	6
Xenorhabdus	33	66	77	83	34	100	41	48	83	36	5	15	60	5	53	25	15
Sporofaciens	10	54	23	10	24	42	1	0	0	9	2	36	23	452	50	37	1
Thermococcus	93	77	66	22	18	59	19	30	43	71	36	64	62	2	36	35	40
Thermomonas	96	117	15	78	71	38	71	19	60	59	8	21	41	5	12	48	14
Kaistella	6	68	25	363	58	72	1	12	9	13	3	32	46	15	25	4	15
Carboxydocella	106	48	30	36	50	16	32	46	40	16	72	20	44	10	58	6	136
Maribacter	32	89	63	116	73	71	73	72	17	52	0	21	17	8	25	12	23
Sphingosinicella	107	28	9	25	46	24	29	52	99	198	13	9	16	4	8	10	87
Parageobacillus	30	56	66	75	41	46	3	21	51	14	56	30	80	83	37	43	30
Endozoicomonas	31	11	59	146	51	46	17	5	39	18	11	16	102	6	61	108	32
Ehrlichia	1	10	18	99	40	34	130	39	5	3	88	48	155	33	5	45	5
Culoivirus	1	16	21	0	1	0	0	0	0	551	0	0	35	0	125	3	0
Lautropia	19	32	8	161	42	57	29	10	13	61	15	76	61	2	29	107	31
Liquorilactobacillus	38	43	134	84	110	86	13	9	8	0	17	39	119	11	26	9	6
Colletotrichum	30	26	31	226	39	35	29	10	25	27	39	38	31	27	81	21	36
Saccharomonospora	57	53	11	38	13	16	16	35	83	255	17	34	35	7	25	22	34
Desulfatibacillum	22	37	8	31	9	63	28	37	379	37	0	17	39	4	14	15	10
Fastidiosipila	64	114	67	52	23	122	1	23	110	40	4	44	27	8	13	13	25
Trichomonas	8	91	36	51	44	43	5	3	3	15	63	68	125	77	38	65	14
Aliarcobacter	36	113	70	38	44	48	66	12	4	16	19	32	48	34	58	42	68
Hyphomonas	54	44	29	20	40	36	11	21	56	102	15	31	52	0	81	100	53
Plantactinospora	55	48	24	27	20	75	22	11	14	23	120	113	142	1	12	29	6
Hyphomicrobium	76	50	38	23	34	28	25	88	55	189	56	9	21	2	15	2	30
Winogradskyella	2	118	25	227	57	46	6	17	6	10	14	8	124	14	30	25	6
Agrococcus	62	74	39	19	37	32	59	61	77	89	11	61	52	1	21	16	23
Microvirga	59	60	7	21	26	43	54	53	63	94	60	12	88	2	33	15	44
Hydrogenibacillus	162	42	16	42	14	28	90	54	134	62	0	24	14	0	4	12	34
Aneurinibacillus	136	55	19	67	48	38	13	49	17	101	14	46	34	6	34	13	41
Arcobacter	12	55	68	39	39	52	110	27	0	1	48	5	72	49	82	49	23
Rhodobacter	98	47	20	18	65	36	54	15	67	141	13	64	30	1	22	24	16
Gluconobacter	68	27	35	52	65	31	7	61	23	114	16	63	41	1	26	4	91
Rhodanobacter	78	79	18	58	28	19	24	67	75	149	6	18	43	1	13	31	14
Frankia	55	42	32	11	35	46	26	42	199	85	11	19	25	1	8	52	30
Staphylospora	96	33	17	1	34	21	34	24	92	120	22	9	30	27	13	14	130
Latilactobacillus	23	32	101	68	82	79	3	1	5	37	8	27	132	13	55	40	10
Maridesulfovibrio	121	61	30	36	18	34	15	42	72	94	23	21	15	46	21	22	44
Riemerella	11	17	127	198	17	51	95	25	53	23	6	15	48	1	18	3	5
Ancylobacter	116	33	18	14	30	17	88	49	145	50	17	23	5	1	16	3	85
Caldinitratiruptor	181	60	17	7	21	31	34	52	69	117	15	18	22	0	10	34	21
Formosa	23	45	42	145	62	50	2	13	44	7	50	32	71	11	54	9	49
Keratinibaculum	3	42	49	22	12	26	99	3	3	10	8	124	59	124	59	12	53
Citrifermentans	114	59	13	23	18	34	24	40	160	46	18	10	47	0	49	20	32
Corallococcus	100	57	22	5	11	13	65	91	98	103	75	7	21	0	8	10	19
Methylovirgula	88	38	13	30	47	43	34	21	68	125	8	37	43	14	37	41	15
Methylococcus	79	66	21	18	28	12	28	64	62	106	34	10	23	0	45	10	95
Jiangella	110	48	6	11	17	30	59	47	130	81	25	14	64	2	7	24	25
Nitrosomonas	51	40	21	34	46	41	2	31	103	106	17	12	29	0	16	6	142
Flavivirga	2	2	2	7	6	13	1	1	3	0	204	177	142	0	31	99	4
Magnetospirillum	71	46	25	9	15	34	36	52	141	36	12	14	36	0	37	36	91
Thioalkalivibrio	173	52	25	42	30	35	42	36	86	32	11	36	25	0	14	19	33
Chlorobium	41	30	47	70	28	105	24	48	45	109	11	21	28	51	3	12	15
Pelodictyon	24	33	18	41	121	66	15	16	15	49	0	59	36	34	51	88	22
Rufibacter	9	59	51	117	110	78	2	12	27	5	5	8	44	23	42	33	62
Candidatus_Phytoplasma	19	70	56	12	34	67	2	10	7	5	8	68	226	5	12	2	81
Mixta	31	60	129	16	18	37	29	16	32	107	6	13	26	13	31	28	91
