ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members	FC1	FC2	FC3	FE1	FE2	FE3	FY1	FY2	FY3	MC1	MC2	MC3	ME1	ME2	ME3	MY1	MY2	MY3
Mx_All_42	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila_B	56.63663468477989	88.49	8.12	84.21	2570716	6570	1	2.6095421	0	0	0	0	0.093970776	0	0	0	0.46264324	0	0.7877801	0	0.03686049	0	0	0	0
Mx_All_43	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	87.96822826620281	95.68	1.9	0.0	2155224	3771	1	0	0	0	0	0	0	2.8477948	0	0	0	0	0	0	1.2137167	0	0	1.4222494	0
Mx_All_44	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium_AQ	s__Clostridium_AQ innocuum	69.57133648234375	80.36	2.67	25.0	3206022	6133	1	2.0136194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10651861	0	0
Mx_All_45	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__Phil1	s__Phil1 sp001940855	55.02620877430042	60.17	1.38	0.0	1220131	3254	1	0	0	0	0.18361343	0	0	0	0	0	0	0.20678148	3.6331384	0	0	0	0	0	0
Mx_All_46	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Oliverpabstia	s__Oliverpabstia intestinalis	81.41152884187574	84.54	1.1	50.0	2222015	4396	1	0	1.214097	0	0.0969224	0.5141964	0	0.26628464	0	0	0	0	0	0.395768	0	0.21246843	0	0.3809444	1.9008554
Mx_All_47	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp000436475	85.32087400949592	91.71	1.85	50.0	2546750	7443	1	0	0	0	0.29059637	0	0	0.12111215	1.6729472	0	0	0	0	0.62307173	0	0.18698338	0	0	0.36578766
Mx_All_48	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D bicirculans	90.00373926683966	97.37	2.23	80.0	2461216	9988	1	0	0	0	1.7734632	0	3.842515	0	0	2.368132	0	0.73215246	0.10610624	0	0	0	0	1.2943475	0
Mx_All_49	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii	54.07441359296276	66.61	3.46	85.71	1576008	3960	1	0	0	0	2.4042876	3.6568267	0.69430965	0.31523144	0.13882117	2.8507807	0	0	0	1.3754666	0	3.420676	0	0.33737266	0.44331
Mx_All_5	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp900066775	79.05080478577392	84.02	1.48	42.86	2005132	3917	1	0	0	0	0.106482185	0.040870793	0	0	0.70886713	0	0	0.36291674	0	0	0.3647823	0	0.17067584	0.25494236	0.28398043
Mx_All_50	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus eutactus_A	85.76271644406607	89.78	1.48	100.0	2414313	6389	1	0	0	0	1.264158	0	0	0	0	0	0	0	0.4789926	2.4124362	0	0	0	0	0
