KO	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
K12503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	265.195	0.0	239.822	0.0
K12506	1006.1744000000001	16.1053	61.165800000000004	227.7545	60.4418	352.53240000000005	23.3943	31.9418	586.4069999999999	1240.17999	261.6766	821.9949
K12524	261.67900000000003	9.42544	8.741719999999999	394.2114	0.0	355.5902	97.4177	55.67660000000001	371.078	285.31609	841.0455000000002	75.7547
K12526	0.0	9.42544	0.0	49.1807	0.0	48.2251	0.0	11.7119	12.6398	9.56519	340.90970000000004	34.1719
K12527	46.1263	0.0	18.6417	0.0	453.44399999999996	0.0	0.0	36.836999999999996	43.7062	0.0	31.5693	573.967
K12528	0.0	0.0	0.0	157.028	0.0	0.0	0.0	0.0	0.0	0.0	172.145	0.0
K12541	0.0	16.1291	15.36401	99.1408	0.0	0.0	17.2804	14.85	129.6799	143.0403	58.3467	0.0
K12542	98.11	0.0	0.0	93.789	295.998	30.8613	64.2251	0.0	51.2006	57.9558	0.0	0.0
K12543	0.0	0.0	0.0	70.1536	0.0	0.0	0.0	0.0	0.0	218.2337	0.0	0.0
K12551	0.0	0.0	0.0	120.7238	0.0	0.0	45.8956	0.0	214.44799999999998	200.6487	0.0	0.0
K12552	186.74200000000002	0.0	40.6173	395.136	615.824	726.5894	112.7878	30.125999999999998	926.792	822.5835	1384.1804000000002	127.9267
K12555	0.0	0.0	0.0	39.5072	0.0	26.1965	96.1848	0.0	0.0	124.495	45.4097	131.46
K12556	186.74200000000002	0.0	40.6173	395.136	615.824	726.5894	112.7878	30.125999999999998	926.792	822.5835	1384.1804000000002	127.9267
K12573	283.9216	254.5876	155.53282000000002	811.7366999999998	1160.9001	458.4766	317.329	31.0234	551.3063000000001	581.2377	1132.06208	389.5766
K12574	330.6669	0.0	66.6138	197.49329999999998	478.822	148.81029999999998	245.29749999999999	54.8521	299.188	28.5332	295.83500000000004	335.2442
K12585	283.9216	49.019499999999994	91.63283	206.8415	483.7681	268.1785	317.329	31.0234	26.535	0.0	0.0	29.143
K12684	131.5733	63.921899999999994	0.0	699.1387	978.528	192.325	22.1047	44.280499999999996	670.8202000000001	1027.3509999999999	1064.009	0.0
K12685	0.0	286.992	42.056799999999996	67.6782	0.0	145.4665	0.0	0.0	61.0441	66.5673	177.5056	72.4301
K12686	161.124	0.0	0.0	0.0	0.0	0.0	101.348	81.999	0.0	0.0	0.0	0.0
K12688	2282.8561999999997	0.0	41.3669	51.0005	414.7589	0.0	0.0	16.8734	167.5224	295.9912	0.0	941.9479999999999
K12940	0.0	0.0	0.0	0.0	0.0	49.0435	0.0	35.6612	42.1	0.0	189.96900000000002	0.0
K12942	502.73720000000003	0.0	66.2799	105.36380000000001	698.7375	256.6944	81.045	0.0	22.4315	99.315	103.54	43.4057
K12943	0.0	0.0	0.0	284.77299999999997	0.0	41.224	0.0	0.0	536.4390000000001	596.0862000000001	69.9491	30.0268
K12945	141.5207	0.0	0.0	0.0	385.31899999999996	0.0	20.5725	60.4013	0.0	14.6782	68.5907	181.81400000000002
K12950	91.4739	26.807	16.74519	165.81560000000002	157.0658	271.6271	145.43609999999998	74.8785	140.8435	258.7586	141.57350000000002	79.8132
K12952	0.0	0.0	13.3371	0.0	0.0	0.0	0.0	0.0	210.18350000000004	36.5073	136.9008	0.0
K12955	0.0	0.0	0.0	0.0	0.0	436.80199999999996	128.384	0.0	0.0	0.0	0.0	0.0
K12960	0.0	0.0	22.7153	39.6688	205.766	0.0	0.0	0.0	0.0	32.9276	0.0	0.0
K12961	0.0	0.0	0.0	57.8696	0.0	19.3646	0.0	0.0	63.0485	83.4236	0.0	42.4747
K12962	0.0	0.0	0.0	147.695	0.0	0.0	41.5283	0.0	81.2313	30.6094	0.0	106.766
K12982	0.0	0.0	0.0	235.53799999999998	0.0	0.0	0.0	0.0	68.7732	453.52	124.295	0.0
K12983	0.0	0.0	19.4585	453.3554	0.0	0.0	34.499	0.0	174.8285	448.0182	111.95349999999999	84.5197
K12984	1079.0801	0.0	70.3729	1156.9323	320.142	810.5791	8.19661	92.0236	249.4612	479.96849999999995	1491.4569999999999	0.0
K12986	215.926	0.0	0.0	331.582	693.572	0.0	47.7907	0.0	204.48	0.0	406.94699999999995	0.0
K12992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.752	0.0
K13003	0.0	0.0	0.0	46.3524	0.0	0.0	0.0	0.0	0.0	114.586	0.0	0.0
K13009	0.0	0.0	36.84297	198.2632	0.0	16.660999999999998	0.0	0.0	134.2373	143.0935	35.9202	0.0
K13010	173.4153	0.0	48.6725	205.2975	160.9946	0.0	166.2507	0.0	94.4202	288.1449	34.7834	101.587
K13012	0.0	0.0	0.0	49.9066	0.0	0.0	0.0	0.0	0.0	95.9117	0.0	0.0
K13015	0.0	0.0	26.9468	205.71140000000003	0.0	0.0	0.0	14.2457	191.0239	102.36449999999999	92.0592	0.0
K13038	537.0527	29.4928	140.7398	662.6552	210.8665	404.6799	428.5343	0.0	1238.5140999999999	634.3667	654.2470000000001	112.76799999999999
K13051	0.0	0.0	16.5385	0.0	242.865	0.0	31.7929	0.0	0.0	0.0	0.0	0.0
K13052	576.622	0.0	0.0	139.352	0.0	0.0	328.51300000000003	0.0	0.0	70.8204	150.495	326.181
K13059	240.308	0.0	0.0	0.0	0.0	243.91	27.433000000000003	0.0	0.0	25.936	0.0	0.0
K13277	0.0	0.0	26.6518	74.7062	11.5452	9.03562	373.82259999999997	25.7514	0.0	101.36296999999999	122.98700000000001	332.58430000000004
K13280	298.631	0.0	81.035	169.421	0.0	283.962	27.433000000000003	0.0	0.0	310.207	235.0136	512.207
K13281	0.0	0.0	0.0	0.0	806.451	200.072	0.0	0.0	0.0	0.0	0.0	0.0
K13288	0.0	0.0	18.8895	76.7848	0.0	0.0	0.0	15.2822	50.20399999999999	50.5987	358.50899999999996	0.0
