Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
g__GGB1148	0	0	3.18534	0	0	0	0	0	0	0	0	0	0	0.07343	0	0	0	0
g__GGB9758	0.03232	0	0.14525	0	0	0.00181	0.07951	0.24504	1.10757	1.11244	0.08114	0	0.00769	0.32245	0	0	0	0
g__GGB9699	0.23043	1.22508	0.20144	0.04623	0	0	0.03263	0.49898	0.008	0.68823	0.07438	0	0.00379	0	0	0	0	0.09097
g__Butyricicoccus	0	0	0.21417	0.07589	0.79405	0.60817	1.00673	0	0	0	0	0	0.29329	0.06307	0	0	0.01381	0
g__Enterococcus	0.00834	0.03287	1.74025	1.02339	0	0	0	0	0	0	0	0	0	0.19754	0	0	0	0
g__GGB9712	1.07762	0.36449	0.12654	0.01035	0	0	0.00369	0	0	1.09986	0	0	0	0.02882	0	0	0	0
g__Waltera	0.07256	0	0.32436	0.00058	1.6309	0.30987	0.25864	0	0.00079	0.00767	0	0	0	0.05812	0	0	0	0
g__Hungatella	0.00309	1.48832	0	0	0.14319	0	0	0	0	0.0925	0.73703	0	0	0	0	0.00437	0	0.06381
g__GGB9691	0	0	0.02801	0	0	0	0	0	0	0	2.47928	0	0	0	0	0	0	0
g__GGB4271	0.4328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05109	0	0
g__GGB1495	0	0.02552	0.4991	0.26331	0.48108	0.01445	0	0	0	1.00619	0	0	0	0	0	0	0.00486	0
g__Kluyvera	0.19251	0	0.04011	0.84963	0	0	0	0	0	0	1.21187	0	3e-04	0	0	0	0	0
g__Lactococcus	0.0184	0	0.01089	1.47715	0	0.0021	0.07868	0	0	0	0	0	0.25611	0.38247	0	0.04269	0	0
g__GGB9713	1.23948	0.29736	0.32952	0.03273	0	0	0.00188	0	0.06754	0	0	0	0	0	0	0	0.00626	0.10682
g__GGB3304	0	0	0	0	0	0.00028	0.00702	0	0	0	1.90225	0	0	0.02197	0	0	0.00081	0
g__Eggerthella	0.12204	0	0	0.00562	0.16024	0.0083	0.01374	0.00246	0.00103	0	0.28711	0.77902	0.07087	0.05887	0.09751	0.04067	0.25032	0.01494
g__Odoribacter	0.14064	0.18462	0.62471	0.00535	0.17622	0.01217	0.02201	0	0.68091	0.03179	0.01287	0	0	0.00604	0	0	0	0
g__Negativibacillus	0	0.97974	0	0.35877	0	0.00384	0	6e-04	0.00189	0.28683	0	0	0	0	0	0	0	0.17043
g__Pyramidobacter	0	0	0	0	0	0	0	0.6709	0.26229	0.79388	0.01472	0	0	0	0	0	0	0
g__Anaerotignum	0.16711	0.29726	0.45779	0.03276	0.1859	0.05831	0.31143	0	0.01185	0.14311	0.01197	0	0	0	0	0	0	0.00872
g__Comamonas	0	0	1.68427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
