Family	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
f__FGB35473	0	0	0	0	0	0	0	0	0	0.12655	0	0	0	0	0	0	0	0
f__FGB73062	0	0	0	0	0	0	0	0	0	0	0.12575	0	0	0	0	0	0	0
f__FGB75721	0	0	0	0	0	0	0	0	0.11336	0	0.01072	0	0	0	0	0	0	0
f__FGB1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12069
f__FGB45507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10609
f__Peptoniphilaceae	0	0	0.00162	0	0	0.09584	0.00594	0.00076	0	0	0	0	0	0	0	0	0	0
f__FGB2840	0	0	0.01266	0	0	0	0	0	0.09071	0	0	0	0	0	0	0	0	0
f__FGB1355	0	0	0.10259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Atopobiaceae	0	0	0	0	0	0	0	0.04066	0	0.00115	0.00878	0.01689	0.0078	0.00073	0.01913	0.00443	0	0
f__FGB31626	0	0	0.09498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB76158	0	0.00157	0.02584	0	0	0	0	0.06196	0	0	0	0	0	0	0	0	0	0
f__FGB73223	0	0	0.08485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB1213	0	0.02205	0	0	0	0	0	0	0.00752	0.01503	0.03426	0	0	0	0	0	0	0
f__FGB8822	0	0	0	0	0	0.00942	0.06643	0	0	0	0	0	0	0	0	0.00274	0	0
f__FGB76256	0	0.03049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04614
f__Corynebacteriaceae	0	0	0.01739	0	0	0	0	0	0	0	0.00161	0.00324	0.03419	0.00249	0	0.01459	0.00065	0
f__FGB9238	0	0	0	0	0	0	0	0	0.00385	0	0.06869	0	0	0	0	0	0	0
f__FGB76398	0	0.06905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB2932	0	0	0	0	0	0	0	0	0.06818	0	0	0	0	0	0	0	0	0
f__FGB2429	0	0	0.02448	0	0	0	0	0	0.00992	0.02818	0.00518	0	0	0	0	0	0	0
f__FGB76356	0	0	0	0	0	0	0	0	0.06558	0	0	0	0	0	0	0	0	0
f__FGB2983	0	0	0	0	0	0	0	0.06093	0	0	0	0	0	0	0	0	0	0
f__FGB3043	0	0	0	0	0	0	0	0.01174	0.04803	0	0	0	0	0	0	0	0	0
f__FGB76388	0	0	0	0	0	0	0	0	0	0.05569	0	0	0	0	0	0	0	0
f__FGB4875	0	0	0	0.05537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB9977	0	0	0.05492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Porphyromonadaceae	0	0	0.00842	0	0	0	0	0	0.02517	0.00972	0.00834	0	0	0	0	0	0	0
f__FGB1249	0.04803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Succinivibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04586
f__FGB76759	0	0	0	0	0	0	0	0	0.04098	0	0	0	0	0	0	0	0	0
f__Candidatus_Nanogingivalaceae	0	0	0	0	0	0	0	0	0	0	0	0.00988	0	0.03031	0	0	0	0
f__FGB59108	0	0	0	0	0	0	0	0.03787	0	0	0	0	0	0	0	0	0	0
f__FGB1126	0	0.01097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0254
f__FGB2918	0	0	0	0	0	0	0	0	0.02975	0.00525	0	0	0	0	0	0	0	0
f__FGB72899	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0
f__FGB2942	0	0	0.02927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB4405	0	0	0	0	0	0	0	0	0	0	0.02417	0	0	0	0	0	0	0
f__FGB3048	0	0	0	0	0	0.00686	0	0.00169	0	0	0	0	0	0.0148	0	0	0	0
f__FGB1227	0	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02108
f__FGB76222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02096
f__FGB2889	0	0	0.01993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB3529	0	0	0.00245	0	0	0	0	0	0	0	0	0	0.01613	0	0	0	0	0
f__FGB2915	0	0.01545	0	0	0	0	0	0	0	0	0.00283	0	0	0	0	0	0	0
f__FGB2863	0	0	0	0	0	0	0	0.01803	0	0	0	0	0	0	0	0	0	0
f__FGB9119	0	0	0	0	0	0.00405	0.01239	0	0	0	0	0	0	0	0	0	0	0
f__FGB72939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01511	0	0
f__FGB58251	0	0	0.01408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Saccharomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01377	0	0	0
f__FGB16911	0	0	0.00303	0.00122	0	0	0	0	0	0	0	0	0	0.00676	0	0	0	0
f__Oxalobacteraceae	0	0	0	0	0	0	0	0.01075	0	0	0	0	0	0	0	0	0	0
f__FGB6261	0	0	0	0.00949	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB628	0	0	0	0	0	0.0016	0.00634	0	0	0	0	0	0	0	0	0	0	0
f__FGB544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00699	0
f__FGB667	0	0	0	0	0	0	0	0	0	0.00671	0	0	0	0	0	0	0	0
f__FGB642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00667
f__FGB4862	0	0	0	0	0	0	0	0	0.00474	0	0	0	0	0	0	0	0	0
f__FGB9120	0	0	0	0	0	0.00225	0.00181	0	0	0	0	0	0	0	0	0	0	0
f__Methylobacteriaceae	0	0	0	0	0	0	0	0	0	0.00365	0	0	0	0	0	0	0	0
f__Aerococcaceae	0	0	0	0.00349	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB3004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00328
f__FGB1311	0	0	0	0	0	0	0	0.00313	0	0	0	0	0	0	0	0	0	0
f__FGB2881	0	0	0.00285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB30287	0	0.00268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB76189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00264	0	0
f__FGB3009	0	0.00252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Candidatus_Borkfalkiaceae	0	0	0	0	0	0	0	0	0	0	0.00212	0	0	0	0	0	0	0
f__Campylobacteraceae	0	0	0	0.00161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00158
f__FGB76370	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155	0	0	0	0
f__FGB1292	0	0	0	0	0	0	0	0	0	0	0	0.00154	0	0	0	0	0	0
f__FGB2345	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0
f__Microbacteriaceae	0	0	0	0	0	0	0	0.00133	0	0	0	0	0	0	0	0	0	0
f__FGB1211	0	0	0	0	0	0	0	0	0	0.00085	0	0	0	0	0	0	0	0
f__FGB76779	0	0	0	0	0	0	0	0	0.00084	0	0	0	0	0	0	0	0	0
f__FGB2950	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0
f__FGB3047	0	0	0	0	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0
f__Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0	0	0	0
f__Alcaligenaceae	0	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0
f__FGB76784	0	0	0	0	0	0	0	0	0	0	0.00035	0	0	0	0	0	0	0
